"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
002","46","2.756","19.6","10.9","19.6","15.2","23.9","8.7",".",".",".",".",".",".","2.2",".",".","."
"AsianAm Lit & Pop Culture","152
001","148","3.622","62.8","15.5","11.5","7.4","1.4","0.7","0.7",".",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","88","3.676","69.3","15.9","9.1","1.1","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Hmong American Experiences","170
001","59","3.381","42.4","13.6","27.1","11.9","5.1",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","33","3.742","72.7","21.2","3.0",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","240
005","31","3.534","45.2","12.9","32.3","3.2",".",".",".",".",".",".",".",".",".","6.5",".","."
"","240
006","29","3.897","79.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","93","3.725","65.6","18.3","11.8","1.1",".",".","1.1",".",".",".",".",".",".","2.2",".","."
"Eating Asian America","250
001","34","3.397","29.4","44.1","11.8","5.9","8.8",".",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Asian American Lit","462
001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
001","15","3.962","80.0","6.7",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","540
002","15","3.429","60.0","6.7","13.3","6.7",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Special Topics","Course Total","30","3.685","70.0","6.7","6.7","3.3",".",".","3.3","3.3",".",".",".",".","6.7",".",".","."
"184
ASIAN AM","Dept. Total","547","3.563","56.7","18.6","12.4","5.5","3.8","0.9","0.9","0.2",".",".",".",".","0.5","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","3.245","33.3","24.0","20.0","9.3","9.3","2.7","1.3",".",".",".",".",".",".",".",".","."
"Sophomore","","196","3.644","63.3","13.8","13.3","4.1","3.6","1.0",".",".",".",".",".",".","0.5","0.5",".","."
"Junior","","159","3.576","56.0","20.8","10.7","6.9","3.1","0.6","0.6",".",".",".",".",".","0.6","0.6",".","."
"Senior","","108","3.605","60.2","22.2","8.3","3.7","1.9",".","2.8",".",".",".",".",".","0.9",".",".","."
"Undergraduates","","538","3.558","56.3","19.0","12.5","5.6","3.9","0.9","0.9",".",".",".",".",".","0.6","0.4",".","."
"Special","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","547","3.563","56.7","18.6","12.4","5.5","3.8","0.9","0.9","0.2",".",".",".",".","0.5","0.4",".","."
