"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","30","2.845","60.0","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Legal Sources","602
001","26","2.115","15.4","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","48","1.385","12.5","2.1","27.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","47","1.191","4.3",".","34.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","54","1.389","13.0",".","27.8",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","711
004","48","1.125","10.4",".","20.8",".","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"","711
005","51","1.098","9.8",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts","Course Total","248","1.240","10.1","0.4","26.6",".","1.2",".","0.4",".",".",".",".",".",".",".",".","."
"","714
001","45","1.911","17.8",".","40.0",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","714
002","64","1.250","18.8",".","15.6",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","714
003","64","1.203","14.1",".","20.3",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","714
004","66","1.455","22.7",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Procedure","Course Total","239","1.418","18.4",".","22.2",".","0.8",".","0.4",".",".",".",".",".",".",".",".","."
"","722
001","17","0.529",".",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","17","0.824","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
003","17","0.941","5.9",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
004","17","0.588","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
005","17","1.412","17.6",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
006","17","1.000","11.8",".","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
007","17","0.412","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
008","17","0.412","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
009","18","0.722","5.6",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
010","18","0.833","16.7",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","722
011","18","0.778","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
012","18","0.833",".",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
013","17","0.412","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legl Analysis, Advocacy &Wtg I","Course Total","225","0.747","8.0",".","14.2",".",".",".","0.4",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","725
001","52","1.531","17.3",".","25.0",".",".",".",".","5.8",".",".",".",".",".",".",".","."
"","726
001","62","1.129","14.5",".","16.1",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","726
002","60","1.633","18.3",".","30.0",".",".",".","1.7",".",".",".",".",".",".",".",".","."
"","726
003","57","0.860","12.3",".","12.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
004","56","1.643","16.1",".","32.1",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Criminal Law and Procedure","Course Total","235","1.315","15.3",".","22.6",".","1.3",".","0.4",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","11","0.636","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","26","0.920","7.7",".","19.2",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","734
001","91","1.276","13.2",".","14.3",".","5.5",".",".","15.4",".",".",".",".",".",".","1.1","."
"","734
002","84","1.139","14.3",".","9.5",".","6.0",".",".","14.3",".",".",".",".",".",".",".","."
"Trusts and Estates","Course Total","175","1.209","13.7",".","12.0",".","5.7",".",".","14.9",".",".",".",".",".",".","0.6","."
"Secured Transactions","736
001","25","1.619","16.0",".","24.0",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"Advanced Constitutional Law","740
001","12","1.864","16.7","8.3","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
