"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","13","3.333","30.8","30.8","15.4",".","15.4",".",".",".",".",".",".",".","7.7",".",".","."
"201","001","","72","3.738","61.1","19.4","4.2","2.8","2.8",".",".",".",".",".",".",".",".","9.7",".","."
"201","002","","76","3.757","73.7","21.1","1.3","1.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"201","003","","70","3.736","67.1","21.4","5.7","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","218","3.744","67.4","20.6","3.7","2.3","1.8",".","0.9",".",".",".",".",".",".","3.2",".","."
"Introduction to Global Health
203","001","","122","3.873","84.4","9.0","4.9",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health
205","001","","321","3.903","91.9","4.4","1.9",".","0.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"Independent Study
299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Entomology
302","001","","19","3.553","63.2","10.5","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Taxonomy of Mature Insects
331","001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"375","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","3.957","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic & Applied Insect Ecology
450","001","","39","3.782","66.7","28.2","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Colloquium
801","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations of Evolution
820","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intr. to WI Ecol.: Grad Sem
953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
