"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MILITARY SCIENCE","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","10","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","101
002","3","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","101
003","6","3.917","83.3","16.7",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Foundations of Officership","Course Total","19","3.974","94.7","5.3",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 1A","110
001","15","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","201
001","12","3.917","91.7",".","8.3",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"","201
002","5","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Individual Leadership Studies","Course Total","17","3.941","94.1",".","5.9","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Leadership Lab 2A","210
001","12","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Leadership and Problem Solving","301
001","16","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Leadership Lab 3A","310
001","16","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Leadership and Management","401
001","14","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Leadership Lab 4A","410
001","14","4.000","100.0",".",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"644
MIL SCI","Dept. Total","123","3.985","98.4","0.8","0.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.967","93.3","6.7",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","37","3.959","97.3",".","2.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","38","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","123","3.985","98.4","0.8","0.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","123","3.985","98.4","0.8","0.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
