"AFRICAN AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","56","3.444","41.1","25.0","12.5","14.3","3.6",".",".",".",".",".",".",".","3.6",".",".","."
"Hip-Hop and Cont Am Society","154","001","213","3.927","92.5","4.7","0.5","0.5",".",".","0.9","0.9",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","300","3.889","84.7","6.3","3.7","0.3","0.3",".","0.7","4.0",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","267","001","14","3.750","85.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Studies","270","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","002","33","3.833","90.9","3.0","3.0",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","271","005","30","3.583","43.3","43.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","85","3.788","76.5","16.5","3.5",".","2.4",".","1.2",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318","001","34","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","25","3.875","92.0",".",".",".",".","4.0",".",".",".",".",".",".","4.0",".",".","."
"Major Authors","525","001","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","671","001","13","3.538","69.2","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","671","002","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","671","003","7","3.214","42.9","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","671","004","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","35","3.557","62.9","20.0","11.4",".",".",".","5.7",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","699","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Educ and Civil Rights Movement","712","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Hist,Thry &Meth in Visual Cult","801","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African and Caribbean Drama","813","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
