"COMMUNICATION SCI & DISORD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Practicum in Com Disorders","Course Total","","40","3.888","90.0","2.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in CS&D
791","009","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Counseling in Audiology
834","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Research Methods
835","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System
845","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Human Balance System: Lab
846","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci I: Basic Acoustics
850","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Assessment
852","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Assessment Laboratory
853","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electroacous & Instr Calibratn
854","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electroacoustics&Calibration
855","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology II
860","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Assess Auditory Sys II
861","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Implantbl Auditory Prostheses
863","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"891","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology I","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"892","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"892","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology II","Course Total","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III
893","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology
894","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science
900","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
