"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"224
CHEM","Dept. Total","7369","3.057","30.3","13.9","23.1","9.9","12.7","3.9","1.0","4.9","0.0",".","",".","0.2","0.1","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1031","2.938","22.2","14.0","27.7","13.5","16.3","5.7","0.6",".",".",".","",".",".",".",".",".","."
"Sophomore","","2767","3.083","28.2","17.0","25.4","12.1","12.4","3.8","1.0","0.0",".",".","",".",".","0.1",".",".","."
"Junior","","1779","2.986","28.9","12.6","26.1","9.7","16.9","4.3","1.3",".",".",".","",".",".","0.1",".",".","."
"Senior","","939","3.070","35.4","14.1","23.1","8.5","11.8","4.8","1.3",".",".",".","",".","1.0","0.1",".",".","."
"Undergraduates","","6516","3.033","28.5","14.9","25.6","11.2","14.2","4.4","1.1","0.0",".",".","",".","0.1","0.1",".",".","."
"Special","","29","3.165","34.5","17.2","10.3","3.4","17.2",".","3.4","3.4",".",".","",".",".",".",".","10.3","."
"Graduate","","1019","3.753","55.2","4.7","3.1","0.2","0.5",".","0.2","35.2","0.3",".","",".","0.3",".","0.1","0.2","."
"","Dept. Total","7564","3.057","32.1","13.5","22.5","9.7","12.3","3.8","1.0","4.8","0.0",".","",".","0.2","0.1","0.0","0.1","."
