"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","267
020","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
189","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
220","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","60","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
071","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
105","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
106","","12","3.273","50.0","16.7","8.3",".",".","16.7",".",".",".",".",".",".",".","8.3",".","."
"Musica Pract:Aural Skills 3","Course Total","","70","3.703","64.3","22.9","7.1","1.4",".","2.9",".",".",".",".",".",".",".","1.4",".","."
"","297
011","","27","3.815","92.6",".",".",".","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"","297
038","","54","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","81","3.901","92.6","2.5","2.5",".","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","23","3.848","87.0","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Jazz Arranging","329
096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Improvisation","331
066","","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","","56","3.982","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 310 of 481",""
