"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"DY SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","18","3.986","94.4","5.6",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","33","3.760","75.8","15.2","6.1","3.0",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","52","3.707","76.9","3.8","11.5","3.8",".","1.9","",".",".","",".",".","",".","1.9","",".",".",".","."
"Undergraduates","","104","3.765","79.8","7.7","7.7","2.9",".","1.0","",".",".","",".",".","",".","1.0","",".",".",".","."
"Special","","10","3.135","40.0","10.0","20.0","20.0","10.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","41","3.500","36.6",".","4.9","4.9",".",".","",".","36.6","",".",".","",".","17.1","",".",".",".","."
"","Dept. Total","155","3.678","65.8","5.8","7.7","4.5","0.6","0.6","",".","9.7","",".",".","",".","5.2","",".",".",".","."
