"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","13","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","19","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","76","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","35","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","37","4.000","5.4","",".","",".","",".","",".","",".","",".","94.6","",".",".","",".","",".","",".",".",".","."
