"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","237","3.089","27.8","22.8","19.0","13.5","12.2","2.5","2.1",".",".",".",".",".",".",".",".","."
"","100
002","234","3.303","36.3","26.5","15.4","10.3","9.4","1.7","0.4",".",".",".",".",".",".",".",".","."
"","100
100","32","3.109","40.6","12.5","12.5","9.4","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","503","3.190","32.6","23.9","16.9","11.7","11.3","2.4","1.2",".",".",".",".",".",".",".",".","."
"","211
001","31","3.032","19.4","12.9","38.7","25.8",".",".","3.2",".",".",".",".",".",".",".",".","."
"","211
003","39","3.346","25.6","25.6","41.0","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","211
004","40","3.200","35.0","12.5","30.0","12.5","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","211
005","37","3.095","16.2","21.6","37.8","13.5","10.8",".",".",".",".",".",".",".",".",".",".","."
"","211
006","30","3.367","33.3","20.0","36.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","211
007","32","3.281","28.1","18.8","37.5","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"","211
008","29","3.103","27.6","10.3","41.4","10.3","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"","211
009","35","3.300","34.3","20.0","28.6","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"","211
010","30","3.317","33.3","20.0","30.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","211
011","35","3.229","31.4","17.1","20.0","28.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","211
012","28","3.054","28.6","7.1","32.1","17.9","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","211
013","39","3.103","17.9","15.4","43.6","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","405","3.204","27.4","17.0","34.8","13.8","5.7","0.7","0.5",".",".",".",".",".",".",".",".","."
"","300
001","238","3.492","44.1","26.1","18.9","6.7","1.7","1.7",".","0.8",".",".",".",".",".",".",".","."
"","300
002","51","3.304","47.1","11.8","15.7","17.6","2.0","5.9",".",".",".",".",".",".",".",".",".","."
"","300
003","54","3.593","51.9","27.8","9.3","9.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"","300
004","49","3.612","51.0","28.6","12.2","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","392","3.496","46.4","24.7","16.3","8.7","1.5","1.8",".","0.5",".",".",".",".",".",".",".","."
"","301
001","44","3.420","31.8","34.1","27.3",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","301
002","45","3.511","51.1","20.0","22.2","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","301
003","42","3.524","45.2","28.6","21.4",".","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","301
004","45","3.389","44.4","22.2","15.6","6.7","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"","301
005","43","3.512","30.2","51.2","14.0",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","301
006","41","3.439","29.3","39.0","24.4","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","301
007","40","3.425","27.5","45.0","22.5",".","2.5","2.5",".",".",".",".",".",".",".",".",".","."
"","301
008","46","3.293","26.1","32.6","30.4",".","8.7","2.2",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","346","3.438","35.8","33.8","22.3","1.7","4.9","1.2","0.3",".",".",".",".",".",".",".",".","."
"","302
001","42","3.429","33.3","28.6","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","39","3.577","35.9","43.6","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","81","3.500","34.6","35.8","24.7","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","310
001","44","3.807","75.0","11.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","40","3.588","42.5","35.0","20.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","44","3.352","25.0","34.1","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","340
003","46","3.391","26.1","34.8","32.6","4.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Accounting Information Systems","Course Total","130","3.438","30.8","34.6","28.5","3.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","401
001","44","3.841","75.0","18.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","39","3.667","51.3","41.0","5.1",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","83","3.759","63.9","28.9","6.0",".",".","1.2",".",".",".",".",".",".",".",".",".","."
