"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","46","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng
201","001","","216","3.868","83.8","9.7","5.1",".","0.9","0.5",".",".",".",".",".",".",".",".",".","."
"Geometric Modeling
231","001","","247","3.864","82.6","11.3","3.2","2.0","0.8",".",".",".",".",".",".",".",".",".",".","."
"Eng. Problem Solving EES
273","001","","27","3.667","63.0","29.6","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project
291","050","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","117","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","125","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","128","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.964","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","007","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","016","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","84","3.863","81.0","10.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing: Polymers
310","001","","160","3.397","26.3","38.1","25.6","8.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"Manufac: Metals and Automation
311","001","","133","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering
331","001","","162","3.389","25.9","35.2","30.9","6.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Systems
340","001","","158","3.263","29.1","32.3","17.1","12.7","6.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"Design of Machine Elements
342","001","","155","2.716","19.4","14.8","16.1","12.3","27.7","7.7","1.9",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I
351","001","","250","3.880","80.8","15.2","3.2","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II
352","001","","61","3.877","77.0","21.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"361","001","","105","3.186","41.9","11.4","20.0","8.6","12.4","4.8","1.0",".",".",".",".",".",".",".",".","."
"361","002","","107","3.308","42.1","17.8","17.8","8.4","12.1","1.9",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","212","3.248","42.0","14.6","18.9","8.5","12.3","3.3","0.5",".",".",".",".",".",".",".",".","."
