"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","70","3.786","88.6",".","7.1",".","1.4",".","2.9",".",".",".",".",".",".",".",".","."
"Forum on the Environment","101","001","118","3.915","93.2","3.4","1.7",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","74","3.655","63.5","16.2","12.2","4.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"Agroecology of Food and Ag","103","002","23","3.239","34.8","30.4","8.7","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","31","3.145","25.8","35.5","16.1","6.5","6.5","9.7",".",".",".",".",".",".",".",".",".","."
"Environment & Social Sciences","112","001","201","3.518","35.3","42.8","12.4","3.5","0.5","1.5","0.5",".",".",".",".",".",".","3.5",".","."
"Intro Earth System","120","001","47","3.287","19.1","38.3","27.7","10.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Physical Systems","127","001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","87","3.420","39.1","28.7","18.4","6.9","5.7","1.1",".",".",".",".",".",".",".",".",".","."
"Literature and the Environment","153","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","37","3.851","75.7","21.6",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","203","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Environmental Studies","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","103","3.809","78.6","4.9","7.8",".","1.9",".","1.0",".",".",".",".",".",".","5.8",".","."
"Sustainability","215","001","62","3.823","85.5","3.2","6.5","3.2",".","1.6",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","244","001","35","3.500","60.0","8.6","14.3","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","255","001","56","3.602","62.5","10.7","14.3","1.8","5.4","1.8",".",".",".",".",".",".","1.8","1.8",".","."
"Introductory Ecology","260","001","39","3.461","43.6","25.6","15.4","7.7","2.6","2.6",".",".",".",".",".",".",".","2.6",".","."
"IndigenousPeoples&Environment","306","001","81","3.456","43.2","35.8","9.9","2.5","2.5","2.5","2.5","1.2",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","36","3.686","58.3","22.2","13.9",".","2.8",".",".",".",".",".",".",".",".","2.8",".","."
"","317","001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","45","3.944","93.3","2.2","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","11","3.455","36.4","45.5",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","9","3.056","22.2","33.3","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","46","3.189","21.7","30.4","26.1","2.2","17.4",".",".",".",".",".",".",".",".","2.2",".","."
"Climate Change Governance","349","001","46","3.420","50.0","26.1","4.3","2.2","6.5","4.3","2.2","4.3",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","32","3.328","50.0","6.3","21.9","9.4","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"Systems Thinking","365","001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","25","3.860","84.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","22","3.318","45.5","9.1","22.7","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 177 of 481",""
