"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program
1","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Principles-Biol Systms
249","001","","44","2.318","4.5","9.1","25.0","9.1","31.8","20.5",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Aided Design
270","001","","40","3.375","27.5","30.0","32.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study
299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Precision Agriculture
305","001","","28","3.554","57.1","21.4","7.1","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"367","001","","92","3.944","90.2","4.3","3.3",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"367","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","93","3.945","90.3","4.3","3.2",".",".",".",".",".",".",".",".",".",".",".","2.2","."
"On-Site Waste Water Treatment
372","001","","31","2.839","12.9","9.7","22.6","41.9","12.9",".",".",".",".",".",".",".",".",".",".","."
"Data Science for Life Science
380","001","","61","3.598","52.5","26.2","13.1","4.9","3.3",".",".",".",".",".",".",".",".",".",".","."
"Water Mgmt Systems
473","001","","34","3.632","47.1","41.2","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery
475","001","","20","2.825","20.0","25.0","30.0",".","5.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"Biol Sys Eng Dsgn Practicum II
509","001","","39","3.474","43.6","38.5","12.8",".",".",".","5.1",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems
699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar
900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","35","",".",".",".",".",".",".",".","65.7",".",".",".","34.3",".",".",".","."
"Special Problems
999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
