"ENVIR ST - GAYLORD NELSON I Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","",""
"Topics: Env Perspctve-Phys Sci","401","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","","Course Total","","32","3.906","84.4","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Environmental Studies","403","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Envir Humanities","404","001","","14","3.458","57.1","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".","14.3",".","."
"Education for Sustainable Cmty","405","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainability Sci, Tech & Pol","417","001","","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"US Envir Policy & Regulation","439","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Amer Environmental History","460","001","","33","3.697","63.6","21.2","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","","48","3.043","8.3","41.7","18.8","8.3","16.7","2.1",".",".",".",".",".",".",".",".","4.2","."
"Natural Resources Policy","515","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","516","001","","14","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic in Lit and Environment","533","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Environmental Studies Capstone","","Course Total","","59","3.941","96.6","1.7",".",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"Reproducibility & Open Science","613","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Water Res Mgt Pract Plan Smr I","717","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agroecosystems & Global Chng","724","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809","001","","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","900","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","004","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
