"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Sm Animal Emrgncy&Crit Care II","577
001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","","96","3.792","69.8","19.8","9.4","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","","96","2.990","18.8","9.4","45.8","5.2","19.8","1.0",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","","22","4.000","22.7",".",".",".",".",".",".","77.3",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","","24","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"","670
001","","42","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"","670
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","43","4.000","16.3",".",".",".",".",".",".","83.7",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","675
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
034","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
042","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
055","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
059","","8","1.000",".",".",".",".",".","12.5",".","87.5",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","52","3.921","61.5",".",".",".",".","1.9",".","36.5",".",".",".",".",".",".",".","."
"","678
001","","53","4.000","9.4",".",".",".",".",".",".","90.6",".",".",".",".",".",".",".","."
"","678
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","58","4.000","10.3",".",".",".",".",".",".","89.7",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","","17","4.000","52.9",".",".",".",".",".",".","47.1",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","4.000","4.0",".",".",".",".",".",".","96.0",".",".",".",".",".",".",".","."
"Production Medicine I","701
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Production Medicine II","703
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
002","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
004","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
005","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
006","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","708
007","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-clinical Topics in Vet Med","Course Total","","110","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","710
001","","27","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","710
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Emergency Medicine","Course Total","","30","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"Primary Care","714
001","","37","4.000","5.4",".",".",".",".",".",".","94.6",".",".",".",".",".",".",".","."
"","716
001","","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 473 of 481",""
