"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","406
001","31","3.597","38.7","41.9","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
002","35","3.414","42.9","8.6","40.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Analysis Report","Course Total","66","3.500","40.9","24.2","30.3","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"","603
001","26","3.827","69.2","26.9","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","21","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","64","3.773","67.2","20.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","35","3.229","17.1","45.7","22.9","5.7","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"","620
002","44","3.295","20.5","40.9","18.2","18.2","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","79","3.266","19.0","43.0","20.3","12.7","3.8",".","1.3",".",".",".",".",".",".",".",".","."
"","621
001","13","3.346","15.4","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","32","3.129","15.6","12.5","53.1","12.5","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"Corporate & Advanced Taxation","Course Total","45","3.193","15.6","20.0","51.1","8.9","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"","630
001","40","3.775","70.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","41","3.598","65.9","7.3","19.5","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"Foundations of Auditing","Course Total","81","3.685","67.9","13.6","12.3","4.9",".",".","1.2",".",".",".",".",".",".",".",".","."
"","640
001","25","3.740","68.0","20.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","30","3.800","63.3","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","30","3.717","53.3","36.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundation-Accting Analytics","Course Total","85","3.753","61.2","30.6","5.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700
020","37","3.446","35.1","18.9","45.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","38","3.487","26.3","44.7","28.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","51","3.559","43.1","25.5","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","23","3.500","34.8","30.4","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","169","3.512","36.7","29.0","34.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","4","***","","","","","","","","","","","","","","","",""
"Financial Reporting II","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","710
001","26","3.615","50.0","26.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","39","3.718","61.5","23.1","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","35","3.671","54.3","25.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tax Research & Analysis","724
001","37","3.568","45.9","24.3","27.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","23","3.804","60.9","39.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting Incentives & Conseqs","Course Total","44","3.841","70.5","27.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
