"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"522","001","","34","3.879","85.3","5.9","2.9",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"522","002","","25","3.660","76.0","4.0","8.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Analysis II","Course Total","","59","3.784","81.4","5.1","5.1",".","6.8",".",".","1.7",".",".",".",".",".",".",".","."
"Linear Optimization
525","001","","32","3.031","21.9","18.8","28.1","12.5","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"Math Methods in Data Science
535","001","","36","3.456","69.4","2.8","5.6","5.6","2.8","2.8","5.6",".",".",".",".",".","5.6",".",".","."
"Linear Algebra II
540","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541","001","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541","002","","27","3.204","48.1","7.4","14.8","11.1","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"541","003","","30","2.950","36.7","6.7","20.0","3.3","26.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","","86","3.366","58.1","8.1","11.6","4.7","14.0","1.2","2.3",".",".",".",".",".",".",".",".","."
"Modern Algebra
542","001","","22","3.159","45.5",".","22.7","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"551","001","","32","3.375","34.4","31.3","25.0","6.3",".",".","3.1",".",".",".",".",".",".",".",".","."
"551","002","","33","3.030","36.4","9.1","18.2","9.1","21.2","6.1",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","Course Total","","65","3.200","35.4","20.0","21.5","7.7","10.8","3.1","1.5",".",".",".",".",".",".",".",".","."
"Fundamentals of Set Theory
570","001","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology
609","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of PDE
619","001","","39","3.756","76.9","2.6","17.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis
623","001","","30","3.317","36.7","13.3","36.7","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"632","001","","36","3.357","38.9","8.3","44.4",".","2.8","2.8",".",".",".",".",".",".","2.8",".",".","."
"632","002","","32","3.000","40.6","3.1","28.1","9.4","3.1","12.5","3.1",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","68","3.187","39.7","5.9","36.8","4.4","2.9","7.4","1.5",".",".",".",".",".","1.5",".",".","."
"681","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","187","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","277","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis
682","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis
691","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","193","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","269","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7","."
"699","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","284","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
