"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210
001","","131","3.792","64.9","27.5","6.9",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Data Mgmt & Analys for Ind Eng","312
001","","69","3.638","63.8","15.9","5.8","13.0","1.4",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","","94","3.287","31.9","23.4","23.4","12.8","8.5",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315
001","","63","3.556","58.7","19.0","11.1","6.3","1.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320
001","","71","3.627","45.1","39.4","12.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","35","3.714","54.3","34.3","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","23","3.435","30.4","39.1","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","Course Total","","71","3.627","45.1","39.4","12.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323
001","","52","3.115","23.1","9.6","53.8","1.9","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"","348
002","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
003","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348
004","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","Course Total","","49","3.969","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","","66","3.932","87.9","10.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350
001","","54","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412
001","","42","3.500","47.6","23.8","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Analys","415
002","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","","12","2.917","16.7","25.0","25.0","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450
001","","36","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch & Beyond in IE","478
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","489
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Planning","510
001","","34","3.515","52.9","5.9","32.4","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"","512
001","","36","3.958","94.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","Course Total","","43","3.953","93.0","4.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","Course Total","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516
001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","23","3.500","43.5","21.7","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","517
002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","Course Total","","29","3.569","51.7","17.2","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","520
001","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","520
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","Course Total","","43","3.965","93.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","","10","3.000","30.0","20.0","20.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 145 of 481",""
