"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","231","3.393","37.7","23.4","27.3","6.1","3.0","0.9","0.9","0.4",".",".",".",".",".",".","0.4","."
"Disability & Crim Justice Syst","135
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Truth and Crime","160
001","79","3.669","58.2","21.5","11.4","5.1","1.3",".",".",".",".",".",".",".",".",".","2.5","."
"Jewish Law, Business, Ethics","203
001","12","3.250","25.0","16.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Incarceration and Education","250
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to 1860","261
001","41","3.044","7.3","29.3","22.0","12.2","12.2",".",".","17.1",".",".",".",".",".",".",".","."
"Justice in World Politics","352
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
031","123","3.525","44.7","24.4","20.3","9.8",".",".",".",".",".",".",".",".","0.8",".",".","."
"","400
033","23","3.543","47.8","30.4","13.0",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","400
038","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
040","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","400
041","21","3.725","66.7","9.5","14.3","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"","400
042","22","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
044","46","3.239","32.6","28.3","21.7","6.5","6.5",".","4.3",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","Course Total","265","3.548","48.7","25.3","16.2","6.0","1.9",".","0.8",".",".",".",".",".","1.1",".",".","."
"Law, Sexuality, & Society","406
001","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","31","3.742","61.3","29.0","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","33","3.818","84.8","6.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"","425
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","Course Total","65","3.785","73.8","16.9","6.2","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"The History of Punishment","426
001","60","3.725","71.7","21.7","1.7",".","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"Law and Environment","430
001","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444
001","68","3.794","89.7","2.9","1.5",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","450
032","49","3.520","20.4","65.3","12.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","450
033","37","3.676","54.1","29.7","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","450
034","27","3.407","63.0","18.5",".","3.7","3.7","7.4","3.7",".",".",".",".",".",".",".",".","."
"Topic:Legal Studies&Humanities","Course Total","113","3.544","41.6","42.5","9.7","2.7","0.9","1.8","0.9",".",".",".",".",".",".",".",".","."
"","460
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","460
002","35","3.614","62.9","20.0","11.4",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Surv, Privacy, Police Powers","Course Total","40","3.632","60.0","20.0","10.0",".","2.5",".","2.5","5.0",".",".",".",".",".",".",".","."
"Health and Social Needs","473
001","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","542
001","9","3.500","66.7","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","542
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and Public Education","Course Total","17","3.735","82.4","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Special Topics - Legal Studies","600
004","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","663
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cyberlaw","Course Total","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
