"EGR","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"612
M E","Dept. Total","3603","3.543","51.6","19.0","13.6","4.5","3.8","0.9","0.3","5.3","0.1","0.2","",".","0.5","0.1","0.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","106","3.741","69.8","16.0","9.4","1.9","2.8",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","262","3.894","86.3","9.2","2.7","0.8","0.4","0.4","0.4",".",".",".","",".",".",".",".",".","."
"Junior","","583","3.519","50.9","24.2","15.3","4.6","4.6","0.2","0.2",".",".",".","",".",".",".",".",".","."
"Senior","","2112","3.458","48.1","21.8","17.2","6.1","4.9","1.4","0.4",".",".",".","",".",".","0.0",".",".","."
"Undergraduates","","3063","3.514","52.7","21.0","15.3","5.2","4.4","1.0","0.4",".",".",".","",".",".","0.0",".",".","."
"Special","","15","3.300","40.0","26.7","13.3","6.7","6.7","6.7",".",".",".",".","",".",".",".",".",".","."
"Graduate","","600","3.839","40.0","6.7","3.2","0.5","0.2","0.2",".","44.0","1.2","1.0","",".","2.8","0.2","0.2",".","."
"","Dept. Total","3678","3.543","50.5","18.7","13.3","4.4","3.7","0.9","0.3","7.2","0.2","0.2","",".","0.5","0.1","0.0",".","."
