"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","216","3.782","70.8","18.1","5.6","1.4","1.4",".","0.5","1.9",".",".",".",".",".","0.5",".","."
"Introduction to Nursing","125
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","299
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","80","3.556","58.8","31.3","3.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","313
002","80","3.800","68.8","30.0",".",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","160","3.678","63.8","30.6","1.9",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","315
001","80","3.919","85.0","13.8","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","80","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Nursing Practice","Course Total","160","3.947","90.0","9.4","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001","74","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","316
002","79","",".",".",".",".",".",".",".",".",".","98.7","1.3",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","Course Total","153","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"Pharmacology for Nrsg Practice","317
001","157","3.150","13.4","41.4","28.7","10.2",".","5.1","1.3",".",".",".",".",".",".",".",".","."
"Pathophys for Nrsg Practice","318
001","157","3.541","31.8","49.7","15.3","2.5",".","0.6",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","64","3.398","23.4","40.6","29.7","4.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"","324
001","117","3.517","24.8","57.3","14.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","106","3.495","24.5","51.9","22.6",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","223","3.507","24.7","54.7","18.4","1.8","0.4",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv & Fam: Exp Lrng","326
003","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","431
001","119","3.445","18.5","56.3","21.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","431
002","110","3.427","20.9","50.0","22.7","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsng Care - Children & Family","Course Total","229","3.437","19.7","53.3","21.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","117","3.457","15.4","65.0","16.2","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"","433
002","110","3.468","10.9","72.7","15.5","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Care - Older Adult","Course Total","227","3.463","13.2","68.7","15.9","1.8","0.4",".",".",".",".",".",".",".",".",".",".","."
"","436
001","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
002","75","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
003","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","165","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","438
001","165","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","64","3.961","92.2","7.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Informatics & Health Tech","Course Total","229","3.967","93.4","6.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","447
003","64","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
003","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
004","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","590
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","40","3.665","47.5","37.5","10.0","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
"","681
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 458 of 481",""
