"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","173","3.246","36.4","19.7","21.4","9.8","9.2","2.9","0.6",".",".",".",".",".",".",".",".","."
"","240
002","198","3.288","31.8","26.8","22.7","8.6","8.6","1.0","0.5",".",".",".",".",".",".",".",".","."
"","240
003","167","2.814","27.5","7.2","19.8","15.6","20.4","7.2","2.4",".",".",".",".",".",".",".",".","."
"","240
004","208","3.344","42.8","17.3","20.7","8.2","9.1","1.9",".",".",".",".",".",".",".",".",".","."
"Data Science Modeling I","Course Total","746","3.188","35.0","18.1","21.2","10.3","11.5","3.1","0.8",".",".",".",".",".",".",".",".","."
"","301
001","189","2.807","24.3","9.5","20.1","15.9","18.5","10.1","0.5","0.5",".",".",".",".",".","0.5",".","."
"","301
002","187","2.874","26.2","9.6","21.9","15.5","18.2","8.0","0.5",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","376","2.841","25.3","9.6","21.0","15.7","18.4","9.0","0.5","0.3",".",".",".",".",".","0.3",".","."
"","303
001","34","3.470","52.9","17.6","14.7","2.9","2.9","5.9",".","2.9",".",".",".",".",".",".",".","."
"","303
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","76","3.961","94.7","3.9",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","303
004","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
005","76","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Statistics I","Course Total","196","3.859","85.2","6.6","5.1","1.0","0.5","1.0",".","0.5",".",".",".",".",".",".",".","."
"","304
003","68","3.716","69.1","10.3","13.2","4.4","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"","304
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","73","3.729","69.9","11.0","12.3","4.1","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"","305
003","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","23","3.870","87.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","309
001","40","3.163","47.5","7.5","20.0","5.0","7.5","12.5",".",".",".",".",".",".",".",".",".","."
"","309
002","52","3.529","50.0","25.0","15.4",".","9.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","92","3.370","48.9","17.4","17.4","2.2","8.7","5.4",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","47","3.255","31.9","23.4","27.7","10.6","2.1","2.1","2.1",".",".",".",".",".",".",".",".","."
"","311
001","65","3.254","36.9","15.4","18.5","23.1","4.6","1.5",".",".",".",".",".",".",".",".",".","."
"","311
002","61","3.205","36.1","9.8","29.5","14.8","8.2",".","1.6",".",".",".",".",".",".",".",".","."
"","311
003","69","3.094","20.3","14.5","43.5","13.0","5.8","2.9",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","195","3.182","30.8","13.3","30.8","16.9","6.2","1.5","0.5",".",".",".",".",".",".",".",".","."
"","324
001","179","2.916","24.6","10.1","27.4","14.5","17.9","3.9","1.7",".",".",".",".",".",".",".",".","."
"","324
002","191","2.976","26.2","12.0","24.1","14.7","18.8","4.2",".",".",".",".",".",".",".",".",".","."
"Intro Stat for Science and EGR","Course Total","370","2.947","25.4","11.1","25.7","14.6","18.4","4.1","0.8",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","47","3.617","48.9","25.5","25.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","199","3.003","28.6","8.0","26.6","13.6","19.6","3.0",".",".",".",".",".",".","0.5",".",".","."
"","340
002","201","3.077","28.4","10.0","32.3","15.4","10.4","3.0","0.5",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","400","3.040","28.5","9.0","29.5","14.5","15.0","3.0","0.3",".",".",".",".",".","0.3",".",".","."
"Introduction to Time Series","349
001","53","3.340","39.6","20.8","18.9","13.2","5.7","1.9",".",".",".",".",".",".",".",".",".","."
"","371
001","191","3.163","25.7","23.0","26.7","13.6","6.8","3.7",".",".",".",".",".",".","0.5",".",".","."
"","371
002","172","3.108","32.0","14.5","23.3","10.5","16.3","3.5",".",".",".",".",".",".",".",".",".","."
"","371
003","149","2.879","17.4","15.4","28.9","16.8","14.8","6.0","0.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","512","3.062","25.4","18.0","26.2","13.5","12.3","4.3","0.2",".",".",".",".",".","0.2",".",".","."
"Undergrad Co-op Edu","401
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
