"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","126","3.440","42.9","29.4","15.1","4.8","3.2","0.8","2.4",".",".",".",".",".","1.6",".",".","."
"","203
002","85","3.559","56.5","23.5","11.8","3.5","1.2","1.2","2.4",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","211","3.488","48.3","27.0","13.7","4.3","2.4","0.9","2.4",".",".",".",".",".","0.9",".",".","."
"","204
001","27","3.519","33.3","37.0","22.2","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"","204
002","44","3.727","54.5","38.6","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","71","3.650","46.5","38.0","11.3","2.8",".",".",".",".",".",".",".",".","1.4",".",".","."
"","210
001","98","3.949","91.8","6.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","95","3.779","77.9","13.7","2.1","3.2","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","193","3.865","85.0","9.8","2.1","1.6","1.0",".","0.5",".",".",".",".",".",".",".",".","."
"","222
001","80","3.188","26.3","25.0","27.5","10.0","7.5","3.8",".",".",".",".",".",".",".",".",".","."
"","222
002","44","3.364","43.2","13.6","29.5","4.5","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","124","3.250","32.3","21.0","28.2","8.1","7.3","3.2",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","108","3.458","57.4","11.1","13.9","4.6","11.1","1.9",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","95","3.590","43.2","35.8","15.8","3.2","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"","252
001","126","3.389","50.0","21.4","11.1","5.6","7.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","252
006","82","3.634","62.2","19.5","12.2","2.4","1.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","208","3.486","54.8","20.7","11.5","4.3","4.8","1.9","1.9",".",".",".",".",".",".",".",".","."
"","270
001","58","3.759","75.9","5.2","13.8","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","32","3.703","68.8","9.4","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","90","3.739","73.3","6.7","14.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","71","3.176","32.4","22.5","15.5","12.7","15.5",".","1.4",".",".",".",".",".",".",".",".","."
"","271
002","36","2.765","13.9","16.7","8.3","22.2","33.3",".",".",".",".",".",".",".","2.8","2.8",".","."
"Circuits Laboratory II","Course Total","107","3.043","26.2","20.6","13.1","15.9","21.5",".","0.9",".",".",".",".",".","0.9","0.9",".","."
"Semiconductr Properties Lab","305
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","18","3.806","88.9",".",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","315
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
005","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","82","3.957","97.6",".",".","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"","317
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","53","3.962","92.5","3.8","1.9",".",".",".",".",".",".",".",".",".",".","1.9",".","."
"Electrodynamics II","320
001","43","3.174","48.8","14.0","11.6","7.0","4.7","11.6","2.3",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","90","3.172","27.8","24.4","17.8","16.7","12.2","1.1",".",".",".",".",".",".",".",".",".","."
