"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUBLHLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Special","10","3.795","70.0","10.0",".","10.0",".","",".","",".",".","10.0",".","",".","",".","",".",".",".","."
"Graduate","14","4.000","42.9",".",".",".",".","",".","",".","57.1",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","21","3.971","85.7","4.8",".",".",".","",".","",".","9.5",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","221","3.862","72.9","16.3","1.8","0.5","0.5","",".","",".","8.1",".",".","",".","",".","",".",".",".","."
"Professionals","252","3.872","75.0","14.7","1.6","0.4","0.4","",".","",".","7.9",".",".","",".","",".","",".",".",".","."
