"FOREST AND WILDLIFE ECOLO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","47","3.745","83.0",".","10.6",".","4.3","2.1",".",".",".",".",".",".",".",".",".","."
"Orientation to Wildlfe Ecology","101","001","52","3.865","78.8","15.4","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","148","3.029","20.9","20.3","20.9","12.2","12.8","4.7",".","8.1",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","43","3.384","41.9","23.3","14.0","11.6","9.3",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335","001","30","3.133","23.3","20.0","26.7","26.7",".","3.3",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","49","3.510","44.9","28.6","14.3","8.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Learning to Action: Prof Dev","390","001","14","3.714","71.4","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","402","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Disturb Ecol Lab: Forest Path","450","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeochem","451","001","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","17","3.412","23.5","52.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515","001","14","3.464","35.7","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","516","001","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","49","3.357","34.7","22.4","28.6","8.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","68","3.664","69.1","1.5","23.5",".","4.4",".",".",".",".",".",".",".",".",".","1.5","."
"Forest Ecology Lab","551","002","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","002","38","3.541","50.0","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".","2.6",".",".","."
"","571","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","25","3.760","72.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","10","2.500",".",".",".","10.0",".",".",".",".",".",".",".",".","90.0",".",".","."
"Climate Change Ecology","660","001","21","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
