"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","20386","3.786","78.5","8.1","4.5","1.6","1.5","0.6","0.5","1.7","",".","2.1","0.0","0.3","0.4","0.0","0.2","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","2090","3.807","83.1","8.2","4.2","1.7","1.2","0.7","0.6",".","",".",".",".",".","0.2","0.0",".","."
"Sophomore","","3286","3.792","82.8","8.2","4.2","1.9","1.5","0.6","0.6","0.0","",".",".",".",".","0.2","0.0",".","."
"Junior","","4295","3.752","79.5","9.4","5.5","2.1","2.1","0.7","0.4","0.0","",".","0.1",".",".","0.1","0.0",".","."
"Senior","","6459","3.736","76.3","9.6","6.0","1.9","2.2","0.8","0.7","0.0","",".","2.2",".","0.0","0.2","0.0","0.0","."
"Undergraduates","","16130","3.758","79.4","9.1","5.3","1.9","1.9","0.7","0.6","0.0","",".","0.9",".","0.0","0.2","0.0","0.0","."
"Special","","159","3.686","36.5","3.1","1.3","1.3","2.5","0.6","0.6","40.9","",".",".",".",".",".","1.3","11.9","."
"Graduate","","4093","3.919","76.6","4.7","1.5","0.2","0.1","0.0","0.3","6.5","",".","6.9","0.0","1.5","1.1","0.0","0.3","."
"Prof Yr 1","","9","4.000","88.9",".",".",".",".",".",".",".","",".","11.1",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","","11","4.000","90.9",".",".",".",".",".",".",".","",".","9.1",".",".",".",".",".","."
"","College Total","20393","3.786","78.5","8.1","4.5","1.6","1.5","0.6","0.5","1.7","",".","2.1","0.0","0.3","0.4","0.0","0.2","."
