"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"355","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Conversation
376","001","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"378","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","002","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Conversation","Course Total","","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean
405","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"421","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Advanced Readings Japanese
451","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ad Chin: Rd & Writ
457","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics: Asian Translation
475","002","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
