"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","46","2.793","6.5","26.1","30.4","6.5","23.9","6.5",".",".",".",".",".",".",".",".",".","."
"Nonprescr. Meds & Self-Care","438","001","133","2.992","19.5","19.5","27.1","19.5","9.0","4.5","0.8",".",".",".",".",".",".",".",".","."
"Pathways in Pharmacy Practice","461","001","132","3.970","95.5","3.8",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","124","3.867","86.3","7.3","4.8",".","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","61","3.902","95.1",".",".",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","124","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","125","3.236","28.0","27.2","19.2","16.8","8.0","0.8",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewardship","560","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Health-System Pharm","610","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","65","3.923","87.7","9.2","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiencs III","625","001","94","3.963","93.6","5.3","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation I","628","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","133","3.342","33.1","25.6","24.1","11.3","6.0",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","94","3.904","84.0","12.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","94","3.277","26.6","28.7","27.7","9.6","6.4","1.1",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","23","3.986","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","003","20","3.725","75.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","740","004","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","48","3.802","79.2","8.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","741","003","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","170","2","***","","","","","","","","","",".",".",".",".",".",".","."
