"Survey-Portug Lit pre 1825","411
001","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Thesis","990
002","","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"782
PORTUG","Dept. Total","","59","3.590","55.9","15.3","11.9","3.4","1.7","",".","1.7","6.8","",".",".","",".","",".","1.7","1.7",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.083","50.0","16.7","16.7",".",".","",".","16.7",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","8","3.615","50.0","12.5","25.0",".",".","",".",".",".","",".",".","",".","",".",".","12.5",".","."
"Junior","","","14","3.392","42.9","21.4","14.3","14.3","7.1","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","19","3.773","57.9","15.8","10.5",".",".","",".",".","10.5","",".",".","",".","",".","5.3",".",".","."
"Undergraduates","","","47","3.516","51.1","17.0","14.9","4.3","2.1","",".","2.1","4.3","",".",".","",".","",".","2.1","2.1",".","."
"Graduate","","","12","3.953","75.0","8.3",".",".",".","",".",".","16.7","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","59","3.590","55.9","15.3","11.9","3.4","1.7","",".","1.7","6.8","",".",".","",".","",".","1.7","1.7",".","."
