"","990
052","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"","990
054","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","66","",".",".",".",".",".",".",".","54.5",".",".",".","43.9","1.5",".",".","."
"Advanced Independent Study","999
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"396
F&W ECOL","Dept. Total","816","3.474","48.0","15.4","12.7","5.9","4.8","1.1",".","6.9",".",".",".","3.7","1.3",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","81","3.326","45.7","19.8","14.8","9.9","7.4","2.5",".",".",".",".",".",".",".",".",".","."
"Sophomore","","125","3.317","50.4","13.6","16.8","8.8","7.2","3.2",".",".",".",".",".",".",".",".",".","."
"Junior","","153","3.429","51.6","19.0","13.1","8.5","5.9","1.3",".",".",".",".",".",".","0.7",".",".","."
"Senior","","322","3.547","54.3","18.3","14.9","4.3","4.7","0.3",".",".",".",".",".","0.3","2.8",".",".","."
"Undergraduates","","681","3.452","52.0","17.8","14.8","6.8","5.7","1.3",".",".",".",".",".","0.1","1.5",".",".","."
"Special","","19","4.000","31.6",".",".",".",".",".",".","63.2",".",".",".",".",".",".","5.3","."
"Graduate","","116","3.748","27.6","4.3","2.6","1.7",".",".",".","37.9",".",".",".","25.0","0.9",".",".","."
"","Dept. Total","816","3.474","48.0","15.4","12.7","5.9","4.8","1.1",".","6.9",".",".",".","3.7","1.3",".","0.1","."
