"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Reading & Research-Finance","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","33","3.258","27.3","33.3","24.2","6.1","6.1",".","3.0",".",".",".",".",".",".",".",".","."
"","420
001","43","3.535","30.2","53.5","11.6","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","420
002","27","3.462","40.7","33.3","14.8","3.7",".",".","3.7",".",".",".",".",".",".",".","3.7","."
"Investmt Bankg & Capital Mrkts","Course Total","70","3.507","34.3","45.7","12.9","2.9","1.4",".","1.4",".",".",".",".",".",".",".","1.4","."
"Applied Equity Mkts Research 1","535
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Estates & Transitions","601
001","39","3.846","79.5","12.8","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","31","3.419","35.5","32.3","29.0",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"","635
002","24","3.438","50.0","20.8","12.5","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Business Valuation","Course Total","55","3.427","41.8","27.3","21.8","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"","640
001","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","27","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Credit Analysis & Tradng","Course Total","45","3.644","42.2","44.4","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Appl Security Analyss","645
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mergers and Acquisitions","650
001","26","3.192","26.9","15.4","34.6","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","700
020","37","3.365","27.0","24.3","43.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","38","3.421","26.3","34.2","36.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","51","3.784","70.6","15.7","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","22","3.750","68.2","13.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","148","3.581","48.0","22.3","27.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
060","18","3.556","55.6","16.7","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","725
050","47","3.755","70.2","10.6","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
060","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","Course Total","57","3.766","70.2","12.3","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","730
060","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis Fixed Inc Securities","740
001","23","3.674","52.2","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Finance","760
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SecurityAnalysis&Invstmt Mgt I","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
121","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","999
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
