"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"Human Factors in Infosec","Course Total","54","3.491","74.1","7.4","5.6","1.9","1.9","1.9","7.4",".",".",".",".",".",".",".",".","."
"","601
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","48","3.915","85.4","8.3","4.2",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","601
003","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","114","3.956","92.1","5.3","1.8",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"","602
001","29","3.821","62.1","34.5",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","602
002","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
003","42","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Info: Org and Search","Course Total","102","3.914","80.4","16.7",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Research and Assessment","603
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","611
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","611
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
004","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","611
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"User Experience Design 1","Course Total","27","3.796","92.6",".",".","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"User Experience Design 3","613
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
003","28","3.963","89.3","7.1",".",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"","615
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems Analysis & Proj Mgmt","Course Total","46","3.967","91.3","6.5",".",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"","616
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","616
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","616
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Records Management","Course Total","9","3.750","66.7",".","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","620
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","Course Total","27","3.944","96.3",".",".","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","632
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","632
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Metadata Standards and XML","Course Total","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","20","3.875","90.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
