"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"","716
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SA WisCARES","Course Total","32","4.000","90.6",".",".",".",".",".",".","9.4",".",".",".",".",".",".",".","."
"Foundations of Vet Med I","731
001","100","",".",".",".",".",".",".",".","98.0","1.0",".",".",".",".",".",".","1.0"
"Foundations of Vet Med II","732
001","99","",".",".",".",".",".",".",".","99.0",".",".",".",".",".",".",".","1.0"
"Veterinary Clinical Skills I","736
001","99","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Professional Skills I","738
001","99","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
001","67","",".",".",".",".",".",".",".","97.0",".",".",".",".","3.0",".",".","."
"","775
002","52","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","34","",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9",".",".","."
"","775
004","16","",".",".",".",".",".",".",".","93.8",".",".",".",".","6.3",".",".","."
"","775
005","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","189","",".",".",".",".",".",".",".","97.4",".",".",".",".","2.6",".",".","."
