"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"","110
001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","110
003","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"First-year Seminar in ILS","Course Total","49","3.867","81.6","14.3","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","140","3.601","50.7","33.6","7.9","2.9","2.9","0.7","0.7",".",".",".",".",".",".",".","0.7","."
"W Culture:Sci,Tech,Philos I","201
001","123","3.550","34.1","43.9","17.1","2.4","0.8",".",".",".",".",".",".",".",".",".",".","1.6"
"West Culture:Lit&The Arts I","203
001","123","3.639","61.0","15.4","11.4","5.7","2.4","0.8",".","3.3",".",".",".",".",".",".",".","."
"Literature and Society","253
001","32","3.406","40.6","25.0","25.0",".","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Intro to Sustainability Sci","255
001","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365
002","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","371
001","14","3.571","64.3","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","371
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis in Arts & Literature","Course Total","21","3.500","61.9","23.8",".",".","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Modern Jewish Thought","423
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Deception and Politics","463
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"500
ILS","Dept. Total","505","3.601","52.3","27.9","11.7","2.8","2.8","0.8","0.4","0.8",".",".",".",".",".",".","0.2","0.4"
