"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","117","3.228","10.3","35.0","43.6","10.3",".",".",".","0.9",".",".",".",".",".",".",".","."
"","300
002","44","3.250","13.6","40.9","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","300
003","47","3.213","14.9","36.2","31.9","10.6","6.4",".",".",".",".",".",".",".",".",".",".","."
"","300
004","44","3.205","11.4","38.6","34.1","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"","300
005","46","3.424","17.4","54.3","23.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","44","3.307","11.4","47.7","34.1","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","300
007","47","3.213","17.0","31.9","31.9","14.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
008","44","3.239","13.6","43.2","27.3","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"","300
009","42","3.190","7.1","40.5","40.5","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"","300
010","46","3.261","10.9","37.0","45.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","47","3.415","17.0","61.7","14.9",".","6.4",".",".",".",".",".",".",".",".",".",".","."
"","300
012","45","3.233","15.6","33.3","37.8","8.9","4.4",".",".",".",".",".",".",".",".",".",".","."
"","300
100","49","3.071","8.2","36.7","32.7","10.2","10.2","2.0",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","662","3.247","12.7","40.6","34.1","8.5","3.8","0.2",".","0.2",".",".",".",".",".",".",".","."
"","305
001","50","3.620","64.0","12.0","14.0","4.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","305
002","48","3.781","72.9","16.7","6.3","2.1","2.1",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","98","3.699","68.4","14.3","10.2","3.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","310
001","23","3.609","52.2","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","322
001","198","3.303","27.8","24.2","36.4","6.1","5.1",".","0.5",".",".",".",".",".",".",".",".","."
"","322
002","185","3.243","17.8","33.0","36.8","5.9","5.9","0.5",".",".",".",".",".",".",".",".",".","."
"","322
003","19","3.368","21.1","42.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurship","Course Total","402","3.279","22.9","29.1","36.1","6.2","5.2","0.2","0.2",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","399
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
001","34","3.500","44.1","32.4","11.8","2.9","8.8",".",".",".",".",".",".",".",".",".",".","."
"","401
100","45","3.367","17.8","64.4","6.7","4.4","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"Leading Teams","Course Total","79","3.424","29.1","50.6","8.9","3.8","6.3",".","1.3",".",".",".",".",".",".",".",".","."
"","403
001","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","22","3.477","40.9","22.7","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","50","3.850","88.0","4.0","2.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","412
002","52","3.712","67.3","19.2","5.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","Course Total","102","3.779","77.5","11.8","3.9","2.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"Leading Change in Organization","420
001","41","3.829","70.7","24.4","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Entrepreneurship","422
001","29","3.345","55.2","10.3","10.3","10.3","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"","423
001","25","3.480","48.0","28.0","16.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","423
002","39","3.821","74.4","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","423
003","30","3.700","60.0","30.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","94","3.691","62.8","24.5","7.4","3.2","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","20","3.550","45.0","30.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","28","3.750","75.0","10.7","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
