"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Undergraduate Thesis
692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Perception, Cog, Cog Neurosci
701","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prosmr in Social Psychology
703","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Proseminar-Clinical Psych
704","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prosmr-Developmental Psych
706","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Proseminar-Biological Psych
707","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prosem Data Sci Human Beh
709","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","005","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"711","006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","008","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"711","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","32","3.964","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"741","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin II:Assmnt, Etiol&Trtmt","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prog in Human Behav Data Sci
750","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-Computer Interaction
770","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone II
791","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog & Neuropsych Assessment
800","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Psychopathology
802","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Work-Clinical Psych
805","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentoring in Behavioral DS
901","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 338 of 481",""
