"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","90","3.794","83.3","10.0","1.1","2.2","1.1",".","2.2",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","63","3.706","71.4","22.2",".","1.6","1.6",".","3.2",".",".",".",".",".",".",".",".","."
"","159","001","","11","3.450","36.4","18.2","27.3","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","159","002","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","159","003","","22","3.614","77.3","9.1",".","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","","Course Total","","54","3.717","74.1","11.1","5.6","3.7","1.9",".","1.9",".",".",".",".",".","1.9",".",".","."
"Architectural Visualization","250","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","80","3.144","15.0","31.3","33.8","10.0","8.8","1.3",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","71","2.986","14.1","14.1","40.8","19.7","9.9","1.4",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","61","2.951","16.4","19.7","19.7","32.8","8.2","3.3",".",".",".",".",".",".",".",".",".","."
"","320","001","","94","3.176","23.4","14.9","44.7","7.4","9.6",".",".",".",".",".",".",".",".",".",".","."
"","320","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Engineering","","Course Total","","98","3.199","25.5","14.3","43.9","7.1","9.2",".",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","19","3.526","42.1","36.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Envr Engr Thermodynamics","324","001","","57","3.632","52.6","28.1","14.0","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","34","3.279","23.5","20.6","44.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","46","3.228","21.7","34.8","32.6","2.2","2.2","6.5",".",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","57","3.447","35.1","22.8","40.4",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","40","3.963","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Open Channel Hydraulics","411","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrology","415","001","","19","3.694","57.9","26.3","5.3",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Water Resources Systems Analys","416","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","426","002","","40","3.950","92.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426","003","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","","Course Total","","47","3.926","87.2","10.6","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","002","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Steel Structures I","445","001","","28","3.000","14.3","21.4","42.9","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Architectural Design","451","001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Honors in Research","489","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","56","3.573","51.8","17.9","21.4","5.4","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Mech Systems for Construction","497","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","64","3.555","56.3","17.2","17.2","6.3","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 126 of 481",""
