"PLANT SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"760
PLANTSCI","","","","","","","","","","","","","","","","","","","",""
"Intro Plant Sci and Tech
110","001","","38","3.539","68.4","7.9","10.5","5.3","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"Sustainable Turf Management
261","001","","16","3.344","43.8","18.8","31.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Envirnmnt of Cultivated Plants
320","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Genome Engineering
340","001","","13","3.000","38.5","23.1","7.7","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"Plants and Human Wellbeing
350","001","","54","3.202","25.9","33.3","13.0","13.0","7.4","1.9","1.9","3.7",".",".",".",".",".",".",".","."
"Plants&Human Wellbeing Compan
351","001","","20","3.725","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Organic Agriculture
372","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tropical Horticultural Systems
376","001","","39","3.782","66.7","23.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Practicum-Plant Sci Teaching
799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biometric Proc-Plant Breeding
811","001","","12","3.667","33.3","33.3","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Seminar Plant Sci & Technology
920","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 33 of 481"
