"","919
007","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","919
011","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","919
012","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","Dept. Total","","24","3.979","79.2","8.3","",".","",".","",".","",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","10","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","11","3.963","81.8","18.2","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","21","3.979","90.5","9.5","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","24","3.979","79.2","8.3","",".","",".","",".","",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
