"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","25","3.460","76.0","4.0",".","8.0","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"","101
002","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.500","45.5","31.8","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","101
005","19","3.816","73.7","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","20","3.800","85.0",".","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","132","3.712","74.2","12.1","5.3","4.5","2.3",".","1.5",".",".",".",".",".",".",".",".","."
"","102
003","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","35","3.900","88.6","2.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","203
002","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","22","3.295","45.5","22.7","4.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.816","89.5",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","66","3.568","65.2","15.2","6.1","7.6","1.5","3.0","1.5",".",".",".",".",".",".",".",".","."
"","204
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","26","3.731","69.2","19.2","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","204
003","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","61","3.787","68.9","24.6","3.3","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"French Lit & Interdis Studies","211
001","95","3.582","52.6","25.3","11.6","3.2","2.1","1.1","1.1",".",".",".",".",".",".",".","3.2","."
"","228
001","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","26","3.827","76.9","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","26","3.654","50.0","34.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","68","3.735","64.7","22.1","8.8","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","25","3.780","72.0","12.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","48","3.844","79.2","10.4","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctors without Borders","288
001","138","3.848","73.2","20.3","3.6","0.7",".",".",".","2.2",".",".",".",".",".",".",".","."
"Adv Composition and Speaking","311
002","27","3.907","92.6",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","29","3.776","65.5","24.1","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl&Early Mod French Lit","321
001","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Modern French&Francophone Lit","322
001","24","3.792","79.2","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl &Early Mod Culture","347
001","16","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Lit Studies","461
001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Critical Approaches","569
001","11","3.250","45.5","9.1","27.3",".",".",".","9.1",".",".",".",".",".",".",".","9.1","."
"Topics Literature and Culture","672
001","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Directed Study","698
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of French","820
001","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","990
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 252 of 481",""
