"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills","111
001","481","3.885","90.4","5.0","2.5","0.2","0.6",".","1.2",".",".",".",".",".",".",".",".","."
"","175
001","199","3.811","78.9","10.6","6.5","2.0","1.0",".","0.5","0.5",".",".",".",".",".",".",".","."
"","175
002","197","3.788","77.2","10.7","7.6","2.0","1.5",".","0.5","0.5",".",".",".",".",".",".",".","."
"Intro to Consumer Finance","Course Total","396","3.799","78.0","10.6","7.1","2.0","1.3",".","0.5","0.5",".",".",".",".",".",".",".","."
"","201
001","55","3.391","25.5","49.1","12.7","10.9",".",".","1.8",".",".",".",".",".",".",".",".","."
"","201
002","77","3.688","55.8","35.1","6.5","1.3",".",".","1.3",".",".",".",".",".",".",".",".","."
"","201
003","78","3.455","46.2","24.4","15.4","10.3","1.3","1.3","1.3",".",".",".",".",".",".",".",".","."
"","201
004","75","3.649","52.0","33.3","5.3","6.7","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"","201
104","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Insights","Course Total","287","3.559","46.7","34.1","9.8","7.0","0.7","0.3","1.0",".",".",".",".",".","0.3",".",".","."
"Retail Leadership Symposium","250
001","261","3.722","71.6","13.8","8.0","2.7","2.7","1.1",".",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","139","3.691","71.2","10.8","10.8","2.2","4.3",".","0.7",".",".",".",".",".",".",".",".","."
"","257
001","141","3.528","36.9","42.6","14.2","5.0","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","257
002","96","3.900","84.4","9.4","5.2",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Introduction to Retail","Course Total","237","3.678","56.1","29.1","10.5","3.0","0.4",".","0.4",".",".",".",".",".","0.4",".",".","."
"Finances & Families","273
001","52","3.577","42.3","42.3","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","275
001","50","3.450","32.0","44.0","12.0","6.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","275
002","54","3.565","42.6","42.6","5.6","7.4",".","1.9",".",".",".",".",".",".",".",".",".","."
"Intro to Personal Fin Planning","Course Total","104","3.510","37.5","43.3","8.7","6.7","2.9","1.0",".",".",".",".",".",".",".",".",".","."
"Consumer Analytics","301
001","70","3.471","44.3","24.3","20.0","7.1","2.9","1.4",".",".",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","41","3.878","85.4","9.8",".","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","60","3.858","86.7","10.0",".","1.7",".",".","1.7",".",".",".",".",".",".",".",".","."
"","355
002","36","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","56","3.813","80.4","8.9","8.9",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"Financial Coaching","Course Total","152","3.855","84.9","8.6","4.6","0.7",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360
001","58","3.500","41.4","36.2","12.1","5.2","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465
001","30","3.767","70.0","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","45","3.378","24.4","33.3","35.6","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","52","3.000","11.5","25.0","34.6","21.2","1.9","5.8",".",".",".",".",".",".",".",".",".","."
"","477
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","99","3.187","18.2","29.3","34.3","14.1","1.0","3.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","18","3.694","55.6","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","49","3.398","26.5","38.8","24.5","8.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"","555
002","56","3.643","46.4","39.3","12.5",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","555
003","60","3.742","58.3","33.3","6.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","555
004","70","3.629","44.3","40.0","12.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","235","3.613","44.7","37.9","13.6","3.0","0.9",".",".",".",".",".",".",".",".",".",".","."
"","561
001","60","3.783","66.7","25.0","6.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","561
002","60","3.847","75.0","20.0",".","3.3",".",".",".",".",".",".",".",".","1.7",".",".","."
"Consumer Engagement","Course Total","120","3.815","70.8","22.5","3.3","2.5",".",".",".",".",".",".",".",".","0.8",".",".","."
"","562
001","59","3.432","22.0","50.8","18.6","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 169 of 481",""
