"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","67","3.818","71.6","17.9","9.0",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"","101
003","71","3.739","63.4","19.7","8.5","1.4",".","1.4",".","2.8",".",".",".",".","2.8",".",".","."
"","101
004","68","3.765","64.7","26.5",".","4.4","1.5",".",".",".",".",".",".",".",".",".","2.9","."
"","101
005","64","3.629","51.6","32.8","4.7","4.7","1.6","1.6",".",".",".",".",".",".",".",".","3.1","."
"","101
006","61","3.779","73.8","16.4","4.9","1.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"","101
007","56","3.264","21.4","30.4","28.6","14.3","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","387","3.676","58.7","23.8","8.8","4.1","1.6","0.5",".","1.0",".",".",".",".","0.5",".","1.0","."
"","104
001","19","3.842","89.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","104
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","38","3.921","94.7",".","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","210
001","69","3.928","88.4","8.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","61","3.336","39.3","23.0","18.0","11.5","4.9","3.3",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","130","3.650","65.4","15.4","10.0","5.4","2.3","1.5",".",".",".",".",".",".",".",".",".","."
"","211
002","39","3.385","59.0","12.8","7.7","7.7","2.6","10.3",".",".",".",".",".",".",".",".",".","."
"","211
004","63","3.411","46.0","22.2","15.9","4.8","4.8","4.8",".","1.6",".",".",".",".",".",".",".","."
"","211
005","64","3.371","43.8","23.4","10.9","4.7","10.9","3.1",".","1.6",".",".",".",".",".",".","1.6","."
"Elementary Logic","Course Total","166","3.390","48.2","20.5","12.0","5.4","6.6","5.4",".","1.2",".",".",".",".",".",".","0.6","."
"","241
002","70","3.696","54.3","32.9","8.6","1.4","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"","241
003","65","3.638","44.6","41.5","10.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","241
004","56","3.455","35.7","30.4","25.0","7.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"","241
005","65","3.715","84.6","1.5","3.1","3.1","4.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","256","3.633","55.5","26.6","11.3","3.5","2.0","0.4","0.4","0.4",".",".",".",".",".",".",".","."
"","243
001","69","3.920","91.3","4.3","1.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","243
002","134","3.951","94.8","3.0","0.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Ethics in Business","Course Total","203","3.941","93.6","3.4","1.0","1.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"Introductory AI & Data Ethics","244
001","136","3.959","83.1","4.4","1.5",".",".",".",".","8.1",".",".",".",".","2.9",".",".","."
"","341
002","64","3.672","60.9","15.6","6.3","3.1","3.1","1.6",".","7.8",".",".",".",".","1.6",".",".","."
"","341
003","68","3.794","79.4","11.8","5.9",".","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","341
004","59","3.518","33.9","44.1","8.5","8.5","1.7",".",".",".",".",".",".",".",".","3.4",".","."
"","341
005","61","3.754","77.0","14.8","3.3","1.6",".","1.6","1.6",".",".",".",".",".",".",".",".","."
"","341
092","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","23","3.761","82.6","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","319","3.727","68.3","17.6","6.3","2.5","1.3","0.9","0.6","1.6",".",".",".",".","0.3","0.6",".","."
"Hist of Ancient Philosophy","430
001","40","3.763","60.0","27.5","5.0","2.5",".",".",".","5.0",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","65","3.690","56.9","29.2","7.7",".","1.5","1.5",".","1.5",".",".",".",".",".","1.5",".","."
"Existentialism","440
001","25","3.370","32.0","36.0","16.0",".","4.0",".","4.0",".",".",".",".",".","4.0",".","4.0","."
"Environmental Ethics","441
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","18","3.875","66.7","22.2",".",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"Language and Meaning","516
001","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freedom Fate and Choice","530
001","18","3.656","44.4","27.8","16.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
