"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Understanding Dance","100
001","104","3.889","90.4","4.8","2.9",".","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","101
001","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
003","41","3.854","87.8","4.9",".","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","32","3.734","78.1","12.5","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".",".","."
"Social Dance I","Course Total","131","3.813","81.7","10.7","2.3","2.3","2.3",".","0.8",".",".",".",".",".",".",".",".","."
"","105
001","24","3.792","91.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","105
002","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Ballet I","Course Total","42","3.878","92.9",".","2.4",".",".",".","2.4","2.4",".",".",".",".",".",".",".","."
"","107
001","19","3.750","84.2","5.3",".",".",".",".","5.3",".",".",".",".",".","5.3",".",".","."
"","107
002","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","Course Total","39","3.855","89.7","2.6","2.6",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"","110
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","28","3.981","89.3","3.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","110
011","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","42","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","39","3.910","87.2","7.7","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","45","3.856","82.2","11.1","4.4",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","210","3.938","91.0","4.8","2.9",".","0.5",".",".",".",".",".",".",".","1.0",".",".","."
"","111
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
003","30","3.917","90.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
004","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory I","Course Total","97","3.955","93.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop Dance Tech&Theory1","115
001","25","3.440","68.0","12.0","4.0","4.0","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","126
001","22","3.841","81.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","126
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique I-B","Course Total","23","3.822","78.3","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","132
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
002","42","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
003","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","132
004","31","4.000","96.8",".",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","132
005","29","3.828","93.1",".","3.4",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","132
006","35","3.914","91.4",".","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","Course Total","175","3.925","94.3",".","4.0",".","0.6",".","0.6",".",".",".",".",".","0.6",".",".","."
"Relax Techs for Stress Mgmt","133
001","46","3.644","73.9","4.3","15.2",".",".",".","4.3","2.2",".",".",".",".",".",".",".","."
"","135
001","34","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","135
002","38","3.947","92.1","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","42","3.786","78.6","16.7",".","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 109 of 481",""
