"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107
001","16","3.500","50.0","31.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","112
001","30","3.733","76.7","6.7","6.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","112
002","27","3.769","77.8","3.7","7.4","3.7","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Global Education through Film","Course Total","57","3.750","77.2","5.3","7.0","5.3","3.5",".",".","1.8",".",".",".",".",".",".",".","."
"Education, Tech, and Society","123
001","29","3.946","89.7","3.4","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Media Literacy in Education","134
001","29","3.862","93.1",".","3.4",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"","140
001","50","3.930","92.0","4.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","48","3.755","70.8","16.7","6.3","2.1",".","2.1",".",".",".",".",".",".","2.1",".",".","."
"","140
003","49","3.875","87.8","4.1","4.1",".",".","2.0",".",".",".",".",".",".",".","2.0",".","."
"Introduction to Education","Course Total","147","3.855","83.7","8.2","4.1","1.4",".","1.4",".",".",".",".",".",".","0.7","0.7",".","."
"History of Race and Inequality","143
001","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","13","3.615","61.5","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education and Public Policy","Course Total","86","3.886","93.0","2.3","3.5","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","160
003","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality & Ed Policy","Course Total","20","3.625","65.0","25.0",".",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Listening to the Land","197
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race,Ethnicty&Inequal-Am Ed","Course Total","59","3.966","94.9","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Education","202
001","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Methods in Ed Pol","209
001","88","3.938","90.9","5.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","45","3.856","88.9","6.7","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","210
002","50","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","47","3.851","78.7","17.0","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","210
004","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","Course Total","161","3.891","86.3","10.6","1.9",".","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"","212
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","21","3.925","81.0","14.3",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","212
003","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education for Social Justice","Course Total","79","3.968","93.7","3.8","1.3",".",".",".",".",".",".",".",".",".",".","1.3",".","."
"","220
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
002","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220
003","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","Course Total","65","3.831","73.8","18.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237
001","23","3.705","52.2","34.8","4.3","4.3",".",".",".",".",".",".",".",".","4.3",".",".","."
