"L&S","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","210
013","17","3.412","52.9","23.5","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","243","3.632","74.9","8.6","4.9","3.3","3.7","2.9","1.6",".",".",".",".",".",".",".",".","."
"Communicating About Careers","215
001","148","3.828","84.5","7.4","5.4",".","0.7","1.4","0.7",".",".",".",".",".",".",".",".","."
"","250
001","21","3.809","81.0","4.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","19","3.881","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.882","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","250
004","21","3.870","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","20","3.826","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","18","3.847","83.3","5.6",".",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","250
007","21","3.880","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","136","3.855","78.7","12.5","5.1","1.5","0.7",".",".",".",".",".",".",".","1.5",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","47","3.787","80.9","10.6","2.1","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"502
INTER-LS","Dept. Total","1493","3.817","85.3","7.0","2.7","1.4","1.2","1.2","0.9",".",".",".",".",".","0.2","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","399","3.794","84.5","8.8","1.8","2.0","0.3","1.5","1.3",".",".",".",".",".",".",".",".","."
"Sophomore","","489","3.824","85.9","6.5","3.3","0.4","1.4","1.2","0.6",".",".",".",".",".","0.6",".",".","."
"Junior","","317","3.862","87.4","5.4","2.8","1.9","0.6","0.6","0.9",".",".",".",".",".",".","0.3",".","."
"Senior","","281","3.790","84.0","6.8","2.5","1.8","2.8","1.4","0.7",".",".",".",".",".",".",".",".","."
"Undergraduates","","1486","3.819","85.5","6.9","2.6","1.4","1.2","1.2","0.9",".",".",".",".",".","0.2","0.1",".","."
"Special","","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","Dept. Total","1493","3.817","85.3","7.0","2.7","1.4","1.2","1.2","0.9",".",".",".",".",".","0.2","0.1",".","."
