"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","154","",".",".",".",".",".",".",".",".",".","97.4","0.6",".",".",".","1.9","."
"","200
002","59","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"","200
003","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Finance Industry Fundamentals","Course Total","273","",".",".",".",".",".",".",".",".",".","98.2","0.7",".",".",".","1.1","."
"","205
001","61","",".",".",".",".",".",".",".",".",".","93.4","6.6",".",".",".",".","."
"","205
002","40","",".",".",".",".",".",".",".",".",".","95.0","5.0",".",".",".",".","."
"Financial Modeling in Excel","Course Total","101","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","300
001","123","3.025","12.2","18.7","46.3","15.4","3.3","1.6","1.6","0.8",".",".",".",".",".",".",".","."
"","300
002","196","3.138","15.3","21.4","44.4","15.3","3.1",".","0.5",".",".",".",".",".",".",".",".","."
"","300
003","115","3.222","29.6","32.2","13.9","12.2","7.8","3.5","0.9",".",".",".",".",".",".",".",".","."
"","300
004","109","3.211","27.5","34.9","12.8","12.8","6.4","5.5",".",".",".",".",".",".",".",".",".","."
"","300
100","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","566","3.177","22.8","25.3","30.7","13.6","4.6","2.1","0.7","0.2",".",".",".",".",".",".",".","."
"","305
001","58","3.362","34.5","20.7","29.3","13.8","1.7",".",".",".",".",".",".",".",".",".",".","."
"","305
002","59","3.568","42.4","33.9","18.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","60","3.650","50.0","31.7","16.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","58","3.026","32.8","15.5","19.0","13.8","8.6","8.6","1.7",".",".",".",".",".",".",".",".","."
"","305
005","58","3.414","44.8","24.1","12.1","10.3","6.9","1.7",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","293","3.406","41.0","25.3","19.1","8.9","3.4","2.0","0.3",".",".",".",".",".",".",".",".","."
"","320
001","59","3.364","32.2","28.8","22.0","13.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"","320
002","56","3.345","25.0","35.7","26.8","3.6","7.1",".",".",".",".",".",".",".",".",".","1.8","."
"","320
003","56","3.420","33.9","25.0","33.9","5.4","1.8",".",".",".",".",".",".",".",".",".",".","."
"","320
004","54","3.528","27.8","51.9","18.5","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","320
006","29","3.362","20.7","37.9","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","254","3.407","28.7","35.4","26.4","6.3","2.8",".",".",".",".",".",".",".",".",".","0.4","."
"","325
002","60","3.417","36.7","21.7","31.7","8.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","325
003","57","3.464","47.4","12.3","24.6","12.3","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"","325
004","58","3.328","27.6","19.0","46.6","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"","325
005","58","3.302","22.4","29.3","39.7","3.4","5.2",".",".",".",".",".",".",".",".",".",".","."
"","325
006","59","3.407","49.2","20.3","15.3","6.8","3.4","3.4","1.7",".",".",".",".",".",".",".",".","."
"","325
007","28","2.982","25.0","25.0","14.3","14.3","14.3","3.6","3.6",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","320","3.348","35.6","20.9","30.0","7.8","3.8","0.9","0.6",".",".",".",".",".","0.3",".",".","."
"","330
001","56","2.902","28.6","14.3","19.6","8.9","21.4","1.8","5.4",".",".",".",".",".",".",".",".","."
"","330
002","60","3.067","36.7","20.0","15.0","10.0","6.7","6.7","5.0",".",".",".",".",".",".",".",".","."
"","330
003","57","2.982","26.3","22.8","14.0","15.8","10.5","5.3","3.5",".",".",".",".",".","1.8",".",".","."
"","330
004","60","3.533","33.3","45.0","18.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","330
005","60","3.533","31.7","48.3","16.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","293","3.211","31.4","30.4","16.7","7.5","8.2","2.7","2.7",".",".",".",".",".","0.3",".",".","."
"Fixed Income Securities","340
001","27","3.692","51.9","29.6","14.8",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","27","3.481","29.6","48.1","14.8","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"","399
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
158","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 54 of 481"
