"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","13","3.423","46.2","23.1","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","8","3.125","50.0","25.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"","101","004","","11","3.409","45.5","27.3","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Russian","","Course Total","","39","3.385","48.7","23.1","10.3","2.6","10.3","5.1",".",".",".",".",".",".",".",".",".","."
"First Semester Ukrainian","105","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Polish","111","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203","001","","8","3.357","37.5","25.0",".","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"","203","002","","13","3.462","46.2","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Russian","","Course Total","","21","3.425","42.9","23.8","9.5","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Third Semester Polish","207","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Love&Death: Intro Pol Lit Cul","215","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Revolution","238","001","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","245","001","","32","3.983","90.6","3.1",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Adventure Lit & Film","259","001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Third Year Russian I","275","001","","20","3.553","60.0","10.0","10.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Third Year Polish I","277","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic Culture in Context","285","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Lang & Culture I","315","001","","14","3.846","78.6","7.1",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Fourth Year Russian I","321","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russian Culture","433","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr:Russian Lit&Cultr","560","001","","7","3.214","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Realism","707","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Slavic Literature","755","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"College Teaching of Russian","820","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","991","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","","Course Total","","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
