"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","250","3.315","37.2","25.2","13.2","11.2","8.8",".","1.6",".",".",".",".",".",".","2.4","0.4","."
"Intro to Comparative Politics","120","001","142","3.830","78.9","13.4","4.2","0.7","1.4","0.7",".",".",".",".",".",".",".",".","0.7","."
"Intro-Internatl Relations","140","001","356","3.687","62.1","21.6","7.0","3.9","2.2",".","0.6","2.2",".",".",".",".",".","0.3",".","."
"Intro to Political Theory","160","001","194","3.596","37.6","43.8","13.4","0.5","1.5",".",".","2.1",".",".",".",".","1.0",".",".","."
"Research Methods in Poli Sci","170","001","89","3.584","55.1","25.8","7.9","5.6","4.5","1.1",".",".",".",".",".",".",".",".",".","."
"Intro to Compar Politics-Hon","182","001","22","3.682","54.5","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Political Psych","206","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","39","3.462","51.3","15.4","25.6",".","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","20","3.800","85.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","76","3.833","71.1","22.4","5.3",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","72","3.236","20.8","34.7","29.2","9.7","2.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.350","35.0","35.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","23","3.609","43.5","43.5","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","304","001","45","3.522","71.1","8.9","8.9","2.2",".","4.4","4.4",".",".",".",".",".",".",".",".","."
"Elections & Voting Behavior","305","001","82","3.644","59.8","25.6","2.4","4.9","3.7",".","1.2","2.4",".",".",".",".",".",".",".","."
"United States Congress","311","001","104","3.770","65.4","21.2","7.7",".","1.9",".",".","3.8",".",".",".",".",".",".",".","."
"Criminal Law and Justice","314","001","151","3.639","54.3","31.8","6.6","0.7","2.6","1.3","0.7","2.0",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","56","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Middle East Politics","320","001","52","3.553","32.7","42.3","9.6","3.8","1.9",".",".",".",".",".",".",".",".",".","9.6","."
"Soc Mvments & Rvlutions Lat Am","325","001","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"African Politics","329","001","18","3.853","72.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Russian Politics","334","001","21","3.375","52.4","14.3","14.3",".","9.5",".","4.8","4.8",".",".",".",".",".",".",".","."
"Civil Military Paradox in US","338","001","54","3.926","98.1",".",".",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"State-Building","342","002","16","3.500","37.5","31.3",".","18.8",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"Terrorism","347","001","141","3.320","37.6","24.1","17.7","5.0","9.2","1.4","1.4","3.5",".",".",".",".",".",".",".","."
"Internat'l Political Economy","350","001","87","3.649","34.5","58.6","1.1","2.3",".",".",".",".",".",".",".",".",".","3.4",".","."
"Justice in World Politics","352","001","36","3.681","52.8","33.3","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","356","001","99","3.707","68.7","16.2","8.1","4.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Comparative Foreign Policy","358","002","35","3.657","60.0","28.6","5.7",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365","002","90","3.750","63.3","27.8","4.4","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Continental Political Thought","366","002","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","100","3.710","60.0","26.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","51","3.862","70.6","17.6","3.9",".",".",".",".",".",".",".",".",".",".","7.8",".","."
"","400","007","29","3.414","34.5","27.6","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","400","008","72","3.725","63.9","19.4","6.9","2.8","2.8",".",".","2.8",".",".",".",".",".",".","1.4","."
"","400","011","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","171","3.727","61.4","21.6","8.8","2.3","1.8",".",".","1.2",".",".",".",".",".","2.3","0.6","."
