"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","151","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","6","3.967","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.979","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","3","***","","","","","","","","","","","","","","","",""
