"ENGR MECHANICS & AEROSPA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","37","3.635","64.9","13.5","13.5","5.4",".","2.7",".",".",".",".",".",".",".",".",".","."
"","200
002","37","3.811","73.0","16.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Mechanics and Aerospace","Course Total","74","3.723","68.9","14.9","12.2","2.7",".","1.4",".",".",".",".",".",".",".",".",".","."
"","201
001","170","3.107","42.4","15.3","11.8","10.6","5.9","10.6","2.4",".",".",".",".",".","1.2",".",".","."
"","201
002","153","2.931","18.3","17.6","26.8","18.3","14.4","3.3","1.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","323","3.023","31.0","16.4","18.9","14.2","9.9","7.1","1.9",".",".",".",".",".","0.6",".",".","."
"Dynamics","202
001","292","3.067","15.8","25.0","29.8","20.5","6.5","2.4",".",".",".",".",".",".",".",".",".","."
"","303
001","186","2.914","16.7","16.7","28.5","19.9","13.4","4.3","0.5",".",".",".",".",".",".",".",".","."
"","303
002","196","3.013","18.9","20.4","28.1","15.8","13.8","3.1",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","382","2.965","17.8","18.6","28.3","17.8","13.6","3.7","0.3",".",".",".",".",".",".",".",".","."
"","307
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
010","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","14","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","11","3.227",".","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
017","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","177","3.805","75.1","14.7","7.3","1.7","1.1",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","31","3.306","22.6","32.3","35.5","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","40","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","2","***","","","","","","","","","","","","","","","",""
"Adv Mech of Materials I","506
001","48","3.469","47.9","12.5","31.3","2.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","508
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics","521
001","42","2.024",".","4.8","16.7","23.8","28.6","19.0","7.1",".",".",".",".",".",".",".",".","."
"Rocket Propulsion","524
001","47","2.649","2.1","25.5","31.9","19.1","8.5","6.4","6.4",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Analysis","540
001","13","3.385","23.1","61.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","39","2.667","10.3","7.7","35.9","17.9","17.9","10.3",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 138 of 481",""
