"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Introduction to Film","350","001","103","3.660","55.3","31.1","3.9","1.9","3.9","1.0",".","2.9",".",".",".",".",".",".",".","."
"Television Industries","351","001","85","3.629","65.9","18.8","5.9","3.5","2.4","2.4","1.2",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","119","3.466","40.3","33.6","16.8","2.5","5.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","65","3.200","33.8","29.2","15.4","7.7","7.7","1.5","4.6",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","44","3.284","38.6","15.9","20.5","18.2","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"Persuasion & Social Influence","368","001","100","3.172","38.0","12.0","25.0","12.0","6.0","3.0","3.0","1.0",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","77","3.785","71.4","13.0","5.2","1.3","1.3","1.3",".","6.5",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","001","16","3.531","37.5","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Tech & Digital Culture","379","001","28","3.500","35.7","32.1","17.9","3.6","3.6",".",".","7.1",".",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","13","3.458","38.5","38.5","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","43","3.500","58.1","23.3","2.3","7.0","4.7","2.3","2.3",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","44","3.818","88.6","4.5","2.3",".","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","467","001","18","3.528","38.9","27.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","35","3.514","34.3","34.3","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Criticism","476","001","41","3.768","73.2","17.1","2.4","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Comm & Health Inequalities","518","001","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Game Cultures","547","001","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Am Film Inds-Studio Sys Era","556","001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","17","3.324","52.9","5.9","17.6",".","23.5",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","22","3.295","54.5","9.1","18.2","4.5",".","13.6",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","101","",".",".",".",".",".",".",".",".",".","99.0","1.0",".",".",".",".","."
"Special Topics in Production","609","001","17","3.875","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"Field Exper in Communicatn","614","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","18","3.861","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","15","3.000","20.0","26.7","33.3",".","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Film Theory","669","001","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","033","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Film Colloquium","902","001","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
