"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"","702","148","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","164","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","165","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","702","169","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","702","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702","178","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Cooperative Education","","Course Total","","45","",".",".",".",".",".",".",".","97.8",".",".",".","2.2",".",".",".","."
"Princ of Programming Langs","704","001","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Complexity","710","001","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","25","3.560","36.0","48.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","45","3.830","64.4","33.3",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","16","3.600","37.5","37.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Adv Topics-Comptr Architecture","758","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","88","3.824","64.8","35.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Deep Learning","762","001","","48","3.826","72.9","14.6","6.3","2.1",".",".",".",".",".",".",".",".","4.2",".",".","."
"","764","001","","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","764","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","","Course Total","","53","3.991","98.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization","765","001","","45","3.659","42.2","51.1",".","2.2","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Adv Natural Lang Processing","769","001","","45","3.800","62.2","35.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-Computer Interaction","770","001","","67","3.896","79.1","20.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis","771","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Network  Biology","775","001","","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmpr Sec & Prvcy","782","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","134","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","164","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","182","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
