"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"","240
001","43","3.733","83.7","7.0","2.3",".",".","7.0",".",".",".",".",".",".",".",".",".","."
"","240
002","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Education","Course Total","90","3.867","91.1","4.4","1.1",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Education in East Asia","245
001","13","3.538","84.6",".",".",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"Incarceration and Education","250
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","48","3.646","77.1","10.4","4.2","2.1",".","2.1","4.2",".",".",".",".",".",".",".",".","."
"","300
002","49","3.867","85.7","10.2",".",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"","300
003","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","47","3.926","95.7","2.1",".",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"","300
005","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","218","3.865","89.0","6.4","1.4","0.5","0.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"","305
002","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","25","3.500","80.0",".",".","4.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Democracy and Education","Course Total","49","3.704","81.6","8.2",".","2.0","4.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Intro Qual Rsrch Mthds in Ed","308
001","23","3.432","65.2","8.7","8.7","4.3",".",".","8.7",".",".",".",".",".","4.3",".",".","."
"","320
001","45","3.722","66.7","24.4","6.7",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"","320
002","48","3.750","77.1","12.5","6.3",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"","320
003","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
006","19","3.250","31.6","15.8","26.3","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","Course Total","143","3.715","69.9","16.1","8.4","1.4","2.1",".","1.4","0.7",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","23","3.739","82.6","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","350
001","24","3.750","79.2","8.3","8.3",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","350
005","30","3.817","83.3","10.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","350
007","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Education Studies","Course Total","78","3.808","80.8","10.3","5.1",".","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"History-American Education","412
001","71","3.577","50.7","31.0","9.9","5.6",".","2.8",".",".",".",".",".",".",".",".",".","."
"Education in Emergencies","435
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immigration Education Equity","460
001","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics on Soc Issues and Ed","500
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Egalitarianism and Ed Justice","540
001","8","3.714","37.5","50.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","542
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
002","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Law and Public Education","Course Total","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".",".","4.3",".","."
"Anthropology and Education","570
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Policy and Practice","575
001","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Part & Comm Based Rsrch & Eval","580
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Eval for Equity","601
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
