"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","68","3.109","23.5","14.7","29.4","11.8","14.7",".",".","5.9",".",".",".",".",".",".",".","."
"","101
001","377","3.154","28.6","27.6","17.0","10.1","11.9","4.2","0.5",".",".",".",".",".",".",".",".","."
"","101
002","305","3.206","27.5","31.1","16.4","13.1","6.9","4.6",".",".",".",".",".",".","0.3",".",".","."
"","101
003","334","3.150","24.0","25.7","23.7","16.2","7.8","2.1","0.6",".",".",".",".",".",".",".",".","."
"","101
004","379","3.196","30.9","26.6","16.6","11.9","9.8","2.9","1.1",".",".",".",".",".",".",".","0.3","."
"","101
005","18","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1413","3.173","27.7","27.5","18.5","12.7","9.3","3.4","0.6",".",".",".",".",".","0.1",".","0.1","."
"","102
001","288","3.002","20.1","19.1","23.3","19.4","16.0","1.4","0.3",".",".",".",".",".",".","0.3",".","."
"","102
002","181","3.280","21.5","28.7","32.0","11.0","3.3",".",".","0.6",".",".",".",".","2.8",".",".","."
"","102
003","91","2.995","15.4","27.5","16.5","24.2","15.4","1.1",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","560","3.089","19.8","23.6","25.0","17.5","11.8","0.9","0.2","0.2",".",".",".",".","0.9","0.2",".","."
"Quant Tools for Economics","205
001","61","3.158","26.2","34.4","16.4","9.8","4.9","1.6","4.9",".",".",".",".",".","1.6",".",".","."
"Internship Economics","228
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","19","3.132","21.1","21.1","42.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","300
002","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","6","3.083","33.3","16.7","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","34","3.176","29.4","20.6","35.3","2.9","2.9","8.8",".",".",".",".",".",".",".",".",".","."
"","301
001","226","3.004","25.2","11.5","28.3","15.9","15.5","2.2","0.9",".",".",".",".",".",".",".","0.4","."
"","301
002","175","3.049","22.3","28.0","16.6","14.9","14.3","2.3","1.7",".",".",".",".",".",".",".",".","."
"","301
003","89","3.264","37.1","20.2","18.0","14.6","7.9","1.1","1.1",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","490","3.067","26.3","19.0","22.2","15.3","13.7","2.0","1.2",".",".",".",".",".",".",".","0.2","."
"","302
001","270","3.569","64.4","15.9","7.0","3.0","4.4","3.3","1.1",".",".",".",".",".","0.7",".",".","."
"","302
002","80","3.146","22.5","23.8","32.5","7.5","8.8","3.8",".",".",".",".",".",".",".","1.3",".","."
"Intmed Macroeconomic Theory","Course Total","350","3.473","54.9","17.7","12.9","4.0","5.4","3.4","0.9",".",".",".",".",".","0.6","0.3",".","."
"","306
001","67","3.604","55.2","19.4","19.4","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","306
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
007","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","90","3.656","61.1","16.7","16.7","3.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","146","3.103","28.8","17.1","22.6","14.4","13.0","3.4",".",".",".",".",".",".","0.7",".",".","."
"","310
002","247","3.107","29.1","23.1","13.4","14.6","17.8","1.2","0.8",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","393","3.106","29.0","20.9","16.8","14.5","16.0","2.0","0.5",".",".",".",".",".","0.3",".",".","."
"Intmed Microecon-Adv Treatment","311
001","32","3.672","50.0","34.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization for Econ","315
001","42","3.488","35.7","35.7","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","320
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sports Economics","321
001","38","3.434","39.5","21.1","28.9","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","134","3.284","23.1","30.6","27.6","13.4","3.7",".",".","0.7",".",".",".",".","0.7",".",".","."
"Microecon in Popular Culture","340
001","44","3.670","52.3","34.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 237 of 481",""
