"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","219","3.601","62.6","20.1","10.0","1.8","0.9","1.4","2.7",".",".",".",".",".",".",".","0.5","."
"","210
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
002","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
005","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","12","3.333","50.0","25.0","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"","210
008","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","53","3.575","60.4","18.9","9.4","5.7","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"Elem Topics in Folklore","215
001","20","3.775","85.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"The Folk Tale","220
001","38","3.765","84.2",".",".",".",".",".","5.3",".",".",".",".",".",".",".","10.5","."
"Supernat in the Modern World","326
001","43","3.616","83.7",".","7.0","2.3",".",".","7.0",".",".",".",".",".",".",".",".","."
"Nordic Mythology","342
001","30","3.810","53.3","10.0","3.3","3.3",".",".",".","26.7",".",".",".",".",".","3.3",".","."
"American Indian Women","437
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","530
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","540
001","18","3.438","50.0","11.1","22.2",".",".",".","5.6",".",".",".",".",".",".","11.1",".","."
"380
FOLKLORE","Dept. Total","436","3.637","67.2","13.8","8.3","2.1","1.4","0.7","3.0","1.8",".",".",".",".",".","0.7","1.1","."
