"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"","174","001","50","3.530","70.0","6.0","10.0",".","8.0","6.0",".",".",".",".",".",".",".",".",".","."
"","174","002","48","3.698","72.9","6.3","14.6","4.2",".","2.1",".",".",".",".",".",".",".",".",".","."
"Cultural Diversity of Families","","Course Total","98","3.612","71.4","6.1","12.2","2.0","4.1","4.1",".",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium","253","001","74","3.781","81.1","5.4","6.8","2.7","1.4",".","1.4",".",".",".",".",".","1.4",".",".","."
"Development of Young Child","262","001","247","3.804","82.6","7.3","6.1","1.2","1.6",".","1.2",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","263","001","245","3.896","89.0","4.9","4.1","1.2","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425","001","48","3.938","89.6","8.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Play-Devlpmt & Role-Lifespan","464","001","42","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","465","001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","33","3.636","60.6","24.2","9.1",".","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","31","3.758","80.6","9.7","6.5",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474","001","39","3.795","74.4","17.9","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"","501","001","14","3.750","78.6",".","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","18","3.147","27.8","27.8","11.1","11.1","11.1","5.6",".","5.6",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","32","3.419","50.0","15.6","12.5","9.4","6.3","3.1",".","3.1",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516","001","36","3.722","83.3","2.8","5.6","2.8","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Couple Relationships","517","001","60","3.775","81.7","3.3","8.3","5.0",".","1.7",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS","592","001","21","3.972","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650","001","27","3.537","55.6","14.8","18.5","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663","001","28","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Aging and the Family","763","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families & Poverty","765","001","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Attachment Thry & Relationship","818","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bridging Gap: Rsch & Action","872","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","19","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
"Independent Study","999","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
