"PHYSICAL THERAPY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","","",""
"Functional Neuroanatomy for PT","500","001","","39","3.551","43.6","23.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiovasc&Pulmonry Treatmt","523","001","","39","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FFdations of PT: Exam and Eval","527","001","","39","3.513","23.1","56.4","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"PT Educ&Lifespan Learning Iss","539","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture&Diversity in Hlth Care","541","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin: Tissue Mech & Adaptatns","627","001","","39","3.577","43.6","30.8","23.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction I","635","001","","39","3.744","53.8","41.0","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues-Rehabilitatn","641","001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","642","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","642","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","642","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Medicine I","664","001","","39","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction I","676","001","","39","3.564","20.5","71.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship IV","703","001","","38","",".",".",".",".",".",".",".",".",".","97.4",".",".",".",".",".","."
"Clinical Internship V","704","001","","38","",".",".",".",".",".",".",".",".",".","97.4",".",".",".",".",".","."
"","799","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","033","","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","25","3.865","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
