"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","101
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem I Laboratory","Course Total","2","***","","","","","","","","","","","","","","","",""
"","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem II Laboratory","Course Total","3","***","","","","","","","","","","","","","","","",""
"","103
001","329","3.014","25.8","14.6","27.4","11.9","15.2","4.9","0.3",".",".",".",".",".",".",".",".","."
"","103
002","319","2.964","25.7","13.2","26.6","11.0","16.9","6.3","0.3",".",".",".",".",".",".",".",".","."
"","103
003","333","2.974","24.0","15.6","24.3","12.3","18.6","4.8",".","0.3",".",".",".",".",".",".",".","."
"","103
004","292","3.084","30.1","14.7","26.7","11.6","10.6","4.8","1.0",".",".",".",".",".","0.3",".",".","."
"","103
005","301","2.918","23.9","13.3","26.6","11.6","16.3","7.3","0.7",".",".",".",".",".",".",".","0.3","."
"","103
007","330","2.980","27.6","12.1","26.4","12.4","13.9","7.3","0.3",".",".",".",".",".",".",".",".","."
"","103
008","303","3.023","27.4","13.9","27.7","12.5","13.2","3.3","2.0",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","2207","2.993","26.3","13.9","26.5","11.9","15.0","5.5","0.6","0.0",".",".",".",".","0.0",".","0.0","."
"","104
001","327","2.784","14.4","14.7","29.4","22.9","9.2","5.8","3.7",".",".",".",".",".",".",".",".","."
"","104
002","337","2.976","20.2","21.7","27.0","16.9","6.5","4.7","3.0",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","664","2.882","17.3","18.2","28.2","19.9","7.8","5.3","3.3",".",".",".",".",".",".",".",".","."
"General Chemistry I","105
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","109
001","336","3.172","27.4","21.4","27.1","14.6","4.8","4.5",".",".",".",".",".",".",".",".","0.3","."
"","109
002","330","3.239","31.2","24.5","21.2","13.6","6.1","3.3",".",".",".",".",".",".",".",".",".","."
"","109
003","79","3.538","45.6","30.4","13.9","8.9",".","1.3",".",".",".",".",".",".",".",".",".","."
"","109
004","77","3.078","28.6","19.5","20.8","14.3","13.0","1.3","2.6",".",".",".",".",".",".",".",".","."
"Advanced General Chemistry","Course Total","822","3.225","30.8","23.4","22.9","13.6","5.6","3.4","0.2",".",".",".",".",".",".",".","0.1","."
"Chemical Principles I","115
001","34","3.603","50.0","26.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","260
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Chem Across the Periodic Table","311
001","28","3.250","35.7","25.0","17.9","10.7","3.6","7.1",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","86","3.035","22.1","25.6","26.7","9.3","8.1","5.8","2.3",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","329
001","96","3.094","34.4","16.7","16.7","6.3","22.9","2.1","1.0",".",".",".",".",".",".",".",".","."
"Elementary Organic Chemistry","341
001","193","2.855","25.4","3.6","30.6","4.7","33.2","1.6","1.0",".",".",".",".",".",".",".",".","."
"","343
001","217","3.065","30.9","12.4","24.9","10.6","16.6","3.7","0.5",".",".",".",".",".","0.5",".",".","."
"","343
002","220","2.993","34.5","6.8","23.6","6.4","23.2","4.1","1.4",".",".",".",".",".",".",".",".","."
"","343
003","204","2.842","20.6","10.3","30.4","6.4","26.0","5.4","0.5",".",".",".",".",".",".",".","0.5","."
"","343
004","46","3.489","45.7","23.9","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","343
005","209","2.861","23.4","11.5","27.8","4.8","25.4","6.2","1.0",".",".",".",".",".",".",".",".","."
