"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"401","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Piano","Course Total","","3","***","","","","","","","","","","","","","","","",""
"405","018","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"405","045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"405","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"405","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Voice","Course Total","","25","3.982","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"407","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"407","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Flute","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Advanced Oboe
409","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"411","019","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"411","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Clarinet","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Saxophone
413","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Bassoon
415","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"417","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"417","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Horn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Advanced Trumpet
419","063","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"421","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"421","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Trombone","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Advanced Euphonium
423","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"427","033","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"427","133","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Percussion","Course Total","","10","3.917","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"431","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Violin","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"433","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"433","173","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Viola","Course Total","","4","***","","","","","","","","","","","","","","","",""
"435","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"435","185","","2","***","","","","","","","","","",".",".",".",".",".",".","."
