"TERM : 1262","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN  Section","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"440
001","","5","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"440
002","","2","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"440
004","","9","4.000","88.9",".","","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","11.1",".",".","."
"Course Total
Topics in LACIS","","16","4.000","93.8","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","6.3",".",".","."
"Smr-Latin American Area
982
001","","5","***","","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Dept. Total
525
LACIS","","21","4.000","90.5","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","9.5",".",".","."
"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","***","","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","10","4.000","90.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","10.0",".",".","."
"Undergraduates","","12","4.000","91.7","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","8.3",".",".","."
"Graduate","","9","4.000","88.9","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","11.1",".",".","."
"Dept. Total","","21","4.000","90.5","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","9.5",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 286 of 481",""
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"report..","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
