"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","149","3.893","90.6","3.4","3.4","2.0",".",".","0.7",".",".",".",".",".",".",".",".","."
"","100
002","14","3.731","71.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"","100
003","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","100
004","15","3.533","60.0","26.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","195","3.852","87.2","4.6","4.1","2.1",".",".","1.0",".",".",".",".",".","0.5","0.5",".","."
"Intro-Theatre & Dramatic Lit","120
001","129","3.845","78.3","15.5","4.7",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","140
001","16","3.594","75.0",".","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.765","82.4","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
004","17","3.294","58.8","11.8","5.9",".","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"","150
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","71","3.711","77.5","8.5","5.6","1.4","5.6",".","1.4",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","33","3.766","78.8","9.1","6.1",".",".",".","3.0",".",".",".",".",".","3.0",".",".","."
"","200
001","34","3.676","82.4","2.9",".","2.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","200
002","13","3.741","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","200
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
202","18","3.583","66.7","5.6","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","200
203","26","3.442","65.4",".","15.4","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"","200
204","29","3.397","72.4","6.9","3.4","3.4",".","6.9","6.9",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","130","3.582","73.8","5.4","6.9","2.3","6.9","3.1","1.5",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Collaborative Problem Solving","234
001","14","3.607","64.3","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","12","3.625","66.7","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","250
002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","26","3.788","76.9","15.4",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","262
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Practicum","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
204","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 116 of 481",""
