"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","181","3.209","19.9","26.0","38.7","8.3","2.8","1.1","1.1",".",".",".",".",".","2.2",".",".","."
"","125","001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","125","002","22","3.357","50.0","18.2","4.5","4.5","13.6","4.5",".","4.5",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","","Course Total","41","3.609","70.7","9.8","2.4","2.4","7.3","2.4",".","4.9",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","133","3.216","28.6","24.8","25.6","10.5","6.0","3.0","0.8",".",".",".",".",".",".",".","0.8","."
"","134","001","175","3.209","30.3","31.4","13.7","12.6","5.7","5.7","0.6",".",".",".",".",".",".",".",".","."
"","134","002","178","3.613","61.2","22.5","6.2","2.8","4.5","1.1","1.1","0.6",".",".",".",".",".",".",".","."
"","134","003","184","3.500","46.7","26.1","12.0","10.9","4.3",".",".",".",".",".",".",".",".",".",".","."
"","134","004","182","3.352","37.4","22.5","20.3","12.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","134","005","9","3.563","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","728","3.420","43.8","25.7","13.2","9.6","5.4","1.6","0.4","0.1",".",".",".",".","0.1",".",".","."
"The Sociology of Gender","138","002","94","3.543","60.6","17.0","12.8","2.1","3.2","2.1","2.1",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","64","3.492","46.9","23.4","21.9","3.1","1.6","3.1",".",".",".",".",".",".",".",".",".","."
"Wellbeing & Society","144","001","41","3.769","65.9","24.4","2.4",".",".","2.4",".",".",".",".",".",".",".",".","4.9","."
"Hum Sexuality-Soc,Psych Iss","160","001","35","3.353","42.9","11.4","22.9","11.4","8.6",".",".","2.9",".",".",".",".",".",".",".","."
"Population Problems","170","001","183","3.533","48.1","26.8","14.8","6.0","2.7","0.5","0.5","0.5",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Topics in Sociology","196","004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","16","3.563","50.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","70","3.384","47.1","24.3","15.7","2.9","2.9",".","5.7",".",".",".",".",".",".",".","1.4","."
"","211","002","44","3.841","75.0","18.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211","003","45","3.933","91.1","6.7",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","211","004","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","","Course Total","117","3.915","87.2","9.4","2.6","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","68","3.667","64.7","19.1","5.9","1.5","4.4",".","1.5",".",".",".",".",".",".","2.9",".","."
"Bascom Course","236","001","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.583","57.1","14.3",".",".","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"Envir, Nat Resources & Society","248","001","20","3.500","75.0","10.0",".",".",".","15.0",".",".",".",".",".",".",".",".",".","."
"God & Money","273","001","26","3.673","65.4","23.1","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","6","2.333","33.3",".","16.7",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"","320","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","136","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","164","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Work, Family: E. Asia","334","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","9","3.667","88.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Sociology of Health & Medicine","343","001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 352 of 481",""
