"L&S","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","",""
"First Semester Ancient Greek","103","001","","6","3.400","50.0",".",".","33.3",".",".",".",".",".",".",".",".",".",".","16.7","."
"First Semester Ancient Greek","303","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Ancient Greek","305","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Greek Literature","401","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Seminar-Poetry","910","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"428
GREEK","","Dept. Total","","28","3.724","60.7","14.3","3.6","7.1",".",".",".","10.7",".",".",".",".",".",".","3.6","."
